unique_values;counts
20;177
24;158
25;153
19;152
28;147
22;146
21;144
26;142
23;142
18;134
17;134
27;131
30;127
31;123
29;121
16;113
33;103
15;100
35;99
14;97
34;95
36;93
37;89
32;84
13;70
38;65
11;58
40;56
39;56
41;52
42;47
12;46
45;41
43;39
44;37
46;34
48;33
10;31
49;27
50;27
47;25
55;24
52;24
53;23
9;23
54;21
56;21
51;21
62;18
58;18
8;15
7;14
60;13
57;11
59;9
63;8
61;8
64;8
70;7
73;6
68;5
6;5
83;5
76;4
85;4
69;4
79;4
77;4
87;4
94;3
81;3
88;3
74;3
65;3
66;3
142;2
102;2
100;2
78;2
71;2
72;2
90;1
99;1
194;1
75;1
127;1
86;1
93;1
113;1
5;1
158;1
4;1
130;1
133;1
109;1
168;1
67;1
167;1
91;1
82;1
89;1
139;1
96;1
195;1
141;1
107;1
162;1
103;1
136;1
