unique_values;counts
27;94
26;87
28;81
21;80
20;80
24;80
23;76
30;76
22;73
29;72
25;72
19;70
31;69
32;65
18;63
35;62
17;61
34;57
33;56
36;53
39;53
40;53
37;51
43;47
13;45
15;44
38;41
16;40
14;40
12;36
41;34
42;34
49;31
45;30
11;30
47;28
50;26
48;26
44;26
10;25
46;25
8;20
9;20
51;18
52;17
54;16
56;14
55;14
6;12
7;12
53;12
58;10
57;9
63;9
60;9
65;8
61;7
59;6
68;6
64;5
71;5
5;5
67;5
73;5
74;5
85;5
70;4
66;4
108;3
78;3
83;3
62;3
80;3
87;3
107;3
77;3
75;3
81;3
72;3
69;2
91;2
114;2
99;2
88;2
117;2
89;2
82;2
76;2
171;1
106;1
123;1
102;1
130;1
93;1
84;1
4;1
148;1
128;1
131;1
141;1
157;1
79;1
95;1
92;1
164;1
101;1
135;1
94;1
111;1
90;1
112;1
124;1
104;1
110;1
