unique_values;counts
21;61
17;55
18;52
20;50
24;43
25;41
22;41
16;40
19;40
23;35
27;32
29;28
31;27
35;27
14;27
26;27
34;26
15;25
32;23
28;23
33;21
30;20
10;19
12;17
36;17
13;17
37;15
11;13
48;13
46;11
39;11
42;11
38;11
9;10
41;10
45;10
44;10
40;9
43;8
56;7
8;7
7;6
63;6
52;6
73;6
6;6
50;6
49;5
59;5
53;5
70;5
64;4
61;4
67;4
68;4
71;4
60;4
85;4
96;3
58;3
54;3
57;3
72;2
51;2
79;2
99;2
62;2
130;2
86;2
154;2
69;2
55;2
74;2
75;2
82;2
4;2
84;2
47;2
78;2
119;2
87;2
110;2
65;1
264;1
5;1
211;1
116;1
136;1
184;1
191;1
179;1
92;1
215;1
392;1
77;1
145;1
135;1
106;1
126;1
213;1
129;1
189;1
156;1
149;1
121;1
88;1
176;1
81;1
399;1
326;1
122;1
89;1
98;1
66;1
111;1
144;1
90;1
217;1
117;1
95;1
114;1
167;1
137;1
91;1
143;1
