unique_values;counts
21;1625
18;1577
15;1570
19;1544
20;1543
16;1529
22;1516
17;1516
23;1416
14;1389
24;1313
25;1259
26;1255
13;1132
27;1129
28;1039
11;994
12;965
29;957
30;943
10;891
31;827
32;785
33;716
34;665
9;584
35;575
36;532
37;503
38;443
39;374
40;369
41;330
42;312
8;306
43;305
44;244
45;223
46;217
47;195
48;186
49;165
5;160
7;138
6;134
50;134
52;128
51;116
53;115
54;109
56;81
57;76
58;75
60;64
55;62
4;54
59;52
61;50
65;50
66;47
62;42
68;41
63;39
69;38
67;37
71;36
64;35
74;32
70;31
72;28
73;27
76;27
75;26
3;24
79;22
78;20
82;19
80;18
89;16
77;16
90;14
98;14
81;13
93;13
88;11
83;10
84;10
92;10
121;9
87;9
99;9
86;8
85;8
103;8
106;7
91;7
108;7
148;6
94;6
102;6
111;6
115;6
100;6
97;6
143;6
124;6
112;6
134;6
122;5
105;5
118;5
114;5
132;5
107;5
173;5
101;5
146;4
110;4
133;4
128;4
120;4
137;4
145;4
153;4
109;4
163;4
113;3
156;3
179;3
96;3
130;3
104;3
117;3
149;3
139;3
126;3
95;3
167;3
227;3
136;2
211;2
330;2
305;2
220;2
170;2
144;2
217;2
267;2
213;2
164;2
239;2
264;2
166;2
161;2
162;2
168;2
150;2
199;2
192;2
194;2
185;2
125;2
129;2
228;2
234;2
116;2
195;1
396;1
119;1
258;1
157;1
205;1
198;1
127;1
165;1
187;1
174;1
196;1
177;1
798;1
291;1
230;1
302;1
197;1
158;1
224;1
141;1
339;1
219;1
253;1
490;1
399;1
140;1
362;1
147;1
345;1
200;1
152;1
201;1
154;1
180;1
292;1
155;1
285;1
429;1
238;1
240;1
328;1
176;1
189;1
300;1
356;1
257;1
233;1
226;1
188;1
338;1
123;1
202;1
225;1
295;1
242;1
248;1
337;1
160;1
138;1
193;1
256;1
275;1
151;1
342;1
186;1
294;1
