unique_values;counts
14;218
17;209
15;202
24;186
19;181
13;178
18;163
25;162
16;159
22;158
20;158
26;157
28;154
23;150
21;147
29;145
31;144
12;140
27;138
30;133
11;129
32;128
33;118
34;113
10;99
35;96
37;86
36;83
39;76
9;71
38;66
40;63
41;52
42;46
43;41
44;38
8;38
7;32
6;27
45;23
49;22
48;21
46;18
47;16
5;13
52;13
51;12
59;11
55;10
50;8
58;6
53;6
56;6
60;6
57;6
61;5
63;4
69;4
4;4
67;4
54;4
79;4
62;4
66;3
90;2
74;2
105;2
81;2
77;2
68;2
64;2
97;2
70;2
86;2
78;1
91;1
139;1
137;1
106;1
89;1
76;1
85;1
143;1
111;1
173;1
71;1
131;1
92;1
136;1
65;1
80;1
98;1
93;1
160;1
147;1
120;1
84;1
