unique_values;counts
24;136
23;129
19;126
27;124
26;123
29;123
22;120
21;118
25;113
20;110
28;103
18;99
17;93
16;88
31;85
30;84
15;81
33;81
32;78
34;76
11;67
35;66
13;65
14;61
9;55
37;51
12;51
8;49
7;47
10;47
36;46
38;44
5;39
4;33
40;32
6;28
43;27
41;27
39;27
42;24
48;22
44;19
45;17
47;13
56;12
46;12
50;12
3;12
57;9
49;9
53;9
51;8
54;7
58;6
55;5
52;5
61;5
59;4
62;3
64;3
69;3
73;3
65;3
81;2
77;2
90;2
60;2
68;2
63;1
70;1
131;1
82;1
75;1
76;1
88;1
80;1
92;1
118;1
71;1
67;1
66;1
86;1
72;1
121;1
74;1
2;1
