unique_values;counts
21;250
19;248
20;247
22;241
25;222
23;220
24;211
17;210
18;202
26;201
16;191
27;183
15;175
14;162
30;161
28;161
29;156
31;153
12;123
13;118
32;118
33;114
35;102
34;92
36;86
38;81
39;80
11;74
37;73
41;53
43;50
42;49
10;47
40;46
9;45
44;41
45;36
8;30
51;29
47;28
46;26
50;23
52;22
55;19
48;18
49;17
54;14
7;11
6;11
57;10
58;10
53;8
59;7
63;7
56;6
5;6
66;6
61;5
69;5
65;5
70;4
72;4
64;4
4;4
62;4
67;3
60;3
68;3
3;3
92;3
79;2
112;2
91;2
86;2
85;2
120;2
73;2
81;2
71;2
75;1
93;1
129;1
82;1
125;1
182;1
111;1
115;1
95;1
109;1
74;1
232;1
83;1
100;1
98;1
195;1
123;1
77;1
128;1
