unique_values;counts
28;236
26;229
27;219
23;213
25;205
21;199
29;193
20;189
31;179
33;176
24;176
32;173
30;168
34;162
22;150
38;146
19;140
17;136
37;136
35;133
18;131
36;124
39;116
40;109
14;104
41;104
15;92
16;92
42;86
44;85
12;78
45;77
43;76
11;64
47;64
46;63
13;63
48;61
49;52
50;50
10;49
54;47
8;45
56;41
7;40
6;40
51;39
52;35
53;35
9;33
5;32
59;30
57;28
55;28
58;22
64;21
63;21
62;20
60;20
61;18
70;13
67;13
69;12
68;11
66;11
4;11
79;10
71;10
73;9
65;9
72;8
84;8
3;7
78;7
76;7
81;6
95;6
82;6
83;6
97;5
80;5
77;5
75;4
109;4
96;4
88;4
104;4
74;3
111;3
90;3
89;3
91;3
120;3
93;2
125;2
106;2
112;2
122;2
85;2
103;2
107;2
283;2
332;1
162;1
248;1
201;1
228;1
129;1
143;1
208;1
231;1
127;1
99;1
306;1
168;1
87;1
115;1
145;1
234;1
151;1
108;1
315;1
277;1
116;1
123;1
86;1
136;1
178;1
114;1
267;1
202;1
154;1
290;1
183;1
213;1
173;1
94;1
110;1
259;1
119;1
271;1
147;1
331;1
117;1
126;1
159;1
388;1
144;1
2;1
282;1
235;1
