unique_values;counts
25;418
22;412
24;399
30;392
20;378
27;371
28;366
21;360
23;358
26;356
19;353
29;348
16;311
31;306
18;304
34;294
32;290
15;288
17;287
33;286
35;263
36;251
14;250
37;225
13;208
38;188
39;181
12;171
40;164
42;158
41;153
43;150
11;148
44;147
46;144
45;131
47;117
48;115
49;112
52;90
10;87
50;84
51;77
9;71
57;69
53;65
54;63
58;58
55;57
59;55
63;54
61;51
8;49
65;45
69;45
60;45
56;44
7;43
64;42
62;40
68;38
67;37
71;36
74;35
70;33
66;32
73;31
76;28
72;25
75;25
78;23
77;23
6;23
82;22
80;20
87;19
79;19
90;19
83;19
92;19
81;18
88;18
86;18
84;18
95;17
94;16
93;15
102;15
85;14
113;14
91;14
111;13
107;13
105;12
96;11
114;11
5;11
98;10
110;10
89;10
101;10
97;10
99;9
109;9
121;9
124;9
125;9
123;8
117;8
100;8
108;8
132;8
112;8
122;8
131;7
104;7
134;7
120;7
103;7
126;6
127;6
129;6
128;6
116;6
154;6
143;6
136;6
146;6
130;6
166;6
119;6
151;5
135;5
115;5
106;5
133;5
234;5
164;5
163;5
4;5
152;5
118;5
189;4
179;4
141;4
160;4
156;4
161;4
200;4
195;4
144;4
149;4
169;4
177;3
184;3
147;3
162;3
139;3
180;3
287;3
137;3
138;3
235;2
197;2
165;2
193;2
150;2
182;2
159;2
208;2
254;2
198;2
145;2
190;2
216;2
194;2
155;2
222;2
187;2
172;2
171;2
244;2
205;2
158;2
213;2
229;2
181;2
174;2
148;2
248;2
204;1
175;1
207;1
300;1
253;1
224;1
237;1
203;1
173;1
168;1
309;1
285;1
202;1
266;1
258;1
280;1
240;1
186;1
249;1
246;1
315;1
226;1
256;1
293;1
418;1
3;1
428;1
188;1
260;1
191;1
192;1
221;1
183;1
217;1
153;1
223;1
265;1
298;1
344;1
322;1
368;1
167;1
321;1
233;1
228;1
328;1
220;1
178;1
185;1
230;1
157;1
170;1
289;1
