unique_values;counts
16;221
20;208
17;207
18;203
19;196
15;195
14;185
23;182
22;178
21;174
24;168
28;147
13;147
25;146
26;144
27;142
29;138
12;125
30;111
32;110
11;108
31;102
10;96
9;92
33;88
34;85
35;79
8;66
38;60
36;56
37;56
7;45
39;40
40;39
43;35
41;30
42;29
44;22
48;21
45;21
46;18
5;17
53;15
4;14
54;13
50;13
47;13
6;13
49;12
51;12
52;11
3;9
55;8
56;5
59;5
60;5
64;5
69;4
65;3
58;3
66;3
63;2
75;2
71;2
61;2
76;2
79;2
74;2
78;2
83;2
86;1
70;1
93;1
73;1
87;1
67;1
144;1
62;1
123;1
89;1
336;1
169;1
57;1
82;1
80;1
125;1
