unique_values;counts
27;19848
25;19831
26;19666
24;19542
28;19399
29;19144
30;18965
31;18441
23;18393
32;18098
33;17634
22;17179
34;16962
35;16699
36;16067
37;15370
21;15365
38;14587
20;14294
39;13379
19;12847
40;12532
18;12196
41;11614
17;10900
42;10767
43;10534
16;9884
44;9383
45;8938
15;8565
46;7980
47;7316
14;7073
48;6845
49;6364
50;6067
13;5662
51;5448
52;4890
53;4527
12;4391
54;4048
55;3752
56;3385
11;3287
57;3080
58;2893
59;2487
10;2331
60;2237
61;2064
62;1862
63;1542
64;1433
9;1403
65;1375
66;1266
8;1259
67;1093
7;1067
68;973
69;884
70;814
71;733
72;624
73;610
74;559
75;526
6;496
76;487
5;461
77;447
80;392
78;350
79;343
82;294
84;268
81;260
83;258
85;257
86;248
87;220
90;206
89;204
4;201
88;188
93;161
91;160
94;147
96;137
92;136
95;129
101;124
99;122
98;121
97;111
100;107
102;101
103;98
104;91
109;88
106;85
105;84
111;79
108;77
112;77
110;75
115;66
116;64
125;58
107;58
113;56
122;56
118;55
114;55
119;53
123;52
120;51
121;50
117;50
129;46
124;45
127;40
126;38
130;38
131;38
3;36
136;35
128;35
134;35
145;31
142;30
140;29
147;29
139;27
132;27
138;26
143;26
144;25
137;25
135;24
148;24
141;23
133;23
146;21
150;21
155;19
151;18
149;18
152;17
154;16
167;14
168;14
163;14
185;13
171;13
156;13
157;12
170;11
160;11
158;11
164;11
169;10
165;10
175;10
161;10
153;9
173;9
159;9
183;9
188;8
172;7
181;7
177;7
166;7
174;7
162;7
186;7
184;7
195;6
221;6
198;6
220;6
222;5
200;5
203;5
179;5
218;5
205;5
196;5
227;5
191;5
182;4
201;4
206;4
187;4
202;4
230;4
281;4
180;4
237;4
178;4
233;4
224;4
208;4
176;4
216;3
277;3
225;3
211;3
283;3
209;3
255;3
192;3
242;3
214;3
194;3
199;3
197;3
383;2
248;2
246;2
232;2
215;2
306;2
321;2
217;2
239;2
193;2
228;2
257;2
594;2
213;2
258;2
263;2
295;2
241;2
212;2
204;2
262;2
207;2
260;2
359;1
253;1
236;1
189;1
249;1
244;1
323;1
330;1
332;1
278;1
380;1
518;1
250;1
307;1
254;1
274;1
851;1
451;1
226;1
858;1
308;1
268;1
315;1
539;1
356;1
219;1
38962;1
223;1
290;1
256;1
252;1
392;1
245;1
526;1
190;1
353;1
318;1
374;1
294;1
280;1
411;1
361;1
287;1
265;1
269;1
346;1
273;1
234;1
267;1
231;1
463;1
272;1
395;1
229;1
439;1
235;1
251;1
243;1
326;1
210;1
296;1
425;1
457;1
