unique_values;counts
22;260
20;255
13;252
17;252
12;237
16;237
18;234
14;232
19;228
21;224
23;219
15;212
11;203
26;194
24;189
10;188
28;187
25;176
27;152
29;152
9;149
31;143
33;134
8;133
32;130
30;124
36;113
34;108
38;103
35;101
7;96
42;89
6;87
41;84
40;82
39;81
37;71
43;66
47;62
46;62
5;60
49;57
44;55
50;51
48;51
45;51
52;46
57;46
55;43
54;37
51;36
53;33
62;33
56;29
61;28
58;27
60;25
4;18
59;16
64;15
63;14
65;12
3;11
67;11
68;11
75;10
66;9
69;9
70;9
80;7
78;7
74;5
87;4
71;4
79;4
77;4
84;4
72;4
92;4
82;4
73;3
107;3
98;3
97;3
90;3
108;3
106;3
109;3
81;3
96;3
95;2
89;2
76;2
119;2
101;2
103;2
91;2
94;2
93;2
115;1
99;1
140;1
613;1
113;1
163;1
706;1
529;1
83;1
114;1
359;1
100;1
198;1
112;1
123;1
160;1
86;1
122;1
139;1
104;1
148;1
347;1
319;1
177;1
281;1
127;1
129;1
173;1
132;1
238;1
88;1
164;1
144;1
133;1
278;1
154;1
