unique_values;counts
22;911
24;895
21;879
26;872
23;869
27;839
28;838
20;838
19;819
25;816
29;786
31;734
30;732
18;717
32;697
17;651
33;624
34;602
16;577
36;545
35;541
15;527
37;483
38;460
14;446
39;418
40;379
41;365
13;346
42;336
43;291
44;283
12;268
45;259
46;255
47;229
48;213
49;212
11;186
50;181
51;177
52;160
10;135
53;129
54;119
55;105
9;103
59;101
57;100
56;96
58;87
60;80
61;79
64;66
62;61
63;58
8;58
67;49
65;48
66;47
69;41
73;36
68;34
70;33
76;32
71;31
72;27
77;25
7;25
75;24
74;22
80;21
79;21
81;21
84;20
82;18
78;17
6;16
98;15
88;13
90;13
91;13
87;12
85;12
86;11
5;11
83;11
103;10
95;10
92;8
97;8
123;8
94;7
99;7
93;6
101;6
102;6
4;6
114;6
96;5
89;5
104;5
110;5
124;5
100;5
116;5
117;5
115;4
127;4
148;4
111;4
129;4
134;4
138;4
106;4
109;3
131;3
120;3
122;3
128;3
125;3
105;3
107;3
163;3
165;3
158;3
182;2
217;2
170;2
119;2
3;2
159;2
133;2
181;2
118;2
197;2
108;2
152;1
335;1
213;1
243;1
296;1
244;1
183;1
156;1
195;1
224;1
151;1
178;1
149;1
208;1
126;1
262;1
147;1
307;1
567;1
203;1
360;1
113;1
225;1
199;1
136;1
216;1
279;1
186;1
236;1
549;1
146;1
251;1
205;1
171;1
465;1
362;1
467;1
172;1
248;1
150;1
143;1
386;1
