unique_values;counts
30;253
29;248
31;236
26;224
27;224
32;221
28;216
25;214
22;213
33;213
34;207
21;205
24;203
38;203
18;196
35;194
37;191
36;186
23;183
41;168
42;161
20;161
19;160
17;145
40;145
39;142
46;138
43;136
16;130
45;122
48;114
44;111
47;108
14;98
15;98
50;98
13;91
12;79
53;78
49;77
52;76
51;72
54;66
55;66
11;62
58;52
56;52
62;49
60;47
63;43
61;43
59;40
57;39
10;38
64;38
65;33
9;32
73;32
66;31
8;29
72;26
68;19
78;18
69;18
70;17
80;17
74;17
67;17
7;16
71;14
83;14
79;13
85;12
6;12
84;11
87;11
82;9
77;9
107;8
76;8
81;8
75;8
98;8
100;8
127;7
111;7
94;7
99;7
91;7
86;7
88;6
93;6
108;6
5;5
97;5
103;5
125;5
96;5
89;5
104;5
112;5
126;5
92;5
124;4
90;4
118;3
117;3
105;3
4;3
3;3
138;3
157;3
174;3
176;3
132;2
154;2
145;2
226;2
110;2
143;2
106;2
129;2
116;2
165;2
153;2
109;2
95;2
173;2
123;2
213;2
133;2
263;1
285;1
189;1
121;1
113;1
139;1
276;1
283;1
177;1
158;1
382;1
186;1
134;1
168;1
147;1
355;1
363;1
142;1
190;1
195;1
161;1
164;1
166;1
152;1
148;1
241;1
184;1
191;1
175;1
162;1
254;1
122;1
204;1
335;1
179;1
131;1
114;1
171;1
137;1
101;1
346;1
209;1
159;1
196;1
585;1
