unique_values;counts
18;45
22;45
13;43
17;43
25;41
11;41
16;41
26;39
24;39
23;38
31;38
21;37
42;35
32;35
30;34
14;33
15;33
35;32
29;31
20;30
19;30
28;29
39;29
36;28
27;27
45;27
41;26
40;26
12;25
33;24
38;24
46;23
34;23
48;20
10;20
37;19
44;18
9;18
56;17
51;15
57;15
8;15
47;14
54;14
50;14
49;12
43;10
55;10
6;10
58;9
61;9
59;9
53;8
5;8
69;7
65;7
63;6
62;6
60;6
72;5
66;4
64;4
7;4
52;4
73;3
78;3
67;3
95;2
102;2
68;2
71;2
88;2
79;2
86;2
87;1
515;1
103;1
82;1
76;1
70;1
124;1
89;1
100;1
81;1
111;1
143;1
101;1
74;1
218;1
311;1
83;1
80;1
85;1
77;1
99;1
152;1
3;1
94;1
96;1
162;1
