unique_values;counts
20;417
25;413
23;411
21;404
24;400
26;391
28;390
22;388
27;381
19;355
18;345
17;330
32;326
29;325
30;318
31;318
33;300
16;285
34;274
15;268
35;255
37;234
36;231
14;227
38;208
13;179
39;179
41;160
40;158
43;148
12;146
42;124
11;118
44;105
10;87
47;82
45;82
48;76
46;71
49;65
50;55
9;48
8;46
52;42
51;41
55;32
54;29
53;28
6;25
7;25
5;24
57;23
56;21
61;21
63;19
59;17
58;17
66;17
62;12
64;12
60;11
4;10
70;9
71;7
65;7
68;7
75;6
67;6
77;5
74;5
72;5
69;5
3;4
86;3
76;3
79;3
73;3
89;2
105;2
82;2
98;1
100;1
90;1
78;1
96;1
107;1
91;1
84;1
97;1
120;1
143;1
94;1
106;1
83;1
85;1
95;1
158;1
