unique_values;counts
23;110
26;109
27;109
25;105
20;104
24;102
28;101
29;101
19;92
32;85
21;85
22;85
17;84
18;80
30;80
31;79
33;75
35;64
16;60
37;58
15;57
14;55
38;54
34;52
36;50
39;47
40;41
41;37
46;34
42;33
13;29
43;28
45;26
44;23
48;22
49;18
12;17
47;17
11;16
50;15
54;13
9;12
10;12
56;12
53;11
52;10
57;7
65;7
55;6
8;6
51;5
66;5
61;5
59;5
67;5
64;4
71;4
62;3
6;3
72;3
58;3
80;3
63;3
60;3
73;2
68;2
154;2
76;2
69;2
5;2
3;1
89;1
77;1
78;1
118;1
100;1
349;1
113;1
109;1
105;1
135;1
93;1
74;1
7;1
383;1
148;1
156;1
368;1
83;1
98;1
82;1
112;1
70;1
75;1
