unique_values;counts
32;14
25;14
27;13
24;13
19;13
34;11
30;11
21;11
31;11
20;11
22;11
33;10
26;9
28;9
40;8
45;8
39;8
29;8
38;8
42;7
36;7
17;7
15;6
119;6
57;6
23;6
18;6
120;6
61;5
109;5
67;5
48;5
66;5
53;4
164;4
104;4
102;4
41;4
44;4
98;4
199;4
62;4
80;4
47;4
37;4
127;3
77;3
128;3
140;3
101;3
88;3
69;3
106;3
83;3
95;3
74;3
64;3
89;3
51;3
56;3
133;3
135;3
78;3
60;3
49;3
52;3
35;3
142;2
85;2
94;2
158;2
154;2
72;2
87;2
90;2
134;2
155;2
187;2
176;2
91;2
110;2
148;2
68;2
161;2
46;2
10;2
146;2
168;2
170;2
123;2
16;2
131;2
14;2
132;2
139;2
152;2
59;2
81;2
189;2
145;2
163;2
138;2
92;2
100;2
122;2
103;2
186;1
247;1
237;1
43;1
147;1
214;1
268;1
184;1
157;1
114;1
255;1
162;1
105;1
215;1
124;1
65;1
86;1
185;1
126;1
93;1
173;1
12;1
193;1
115;1
233;1
175;1
112;1
136;1
171;1
260;1
216;1
207;1
143;1
55;1
58;1
3;1
6;1
11;1
144;1
141;1
180;1
196;1
167;1
169;1
108;1
178;1
54;1
111;1
70;1
179;1
150;1
113;1
275;1
194;1
125;1
156;1
