unique_values;counts
26;129
25;125
28;120
30;117
23;117
29;114
34;111
31;110
32;109
24;109
27;108
36;107
20;105
40;105
33;104
39;102
19;102
21;101
22;100
18;99
35;97
43;96
37;95
45;87
38;86
47;76
41;75
48;70
17;70
44;69
42;69
49;67
16;66
46;64
14;63
15;61
50;57
52;52
55;50
54;49
53;48
13;47
56;45
51;45
57;41
58;36
12;35
59;33
63;29
11;29
60;29
64;27
66;27
62;27
61;26
10;26
67;23
69;21
65;20
71;19
73;17
78;17
9;16
68;15
72;15
74;14
70;12
77;12
75;12
8;12
76;11
82;10
87;10
84;10
81;10
86;8
80;7
91;7
79;7
7;7
133;6
88;6
6;6
98;6
93;6
94;6
115;4
104;4
108;4
3;4
99;4
89;4
107;4
114;3
95;3
112;3
105;3
101;3
122;3
132;3
85;3
90;3
120;3
92;3
125;3
123;2
97;2
131;2
124;2
135;2
161;2
134;2
144;2
111;2
127;2
154;2
179;2
118;2
121;2
96;2
100;2
170;2
103;2
138;2
4;2
163;2
126;2
106;2
83;2
5;2
149;1
146;1
501;1
141;1
205;1
166;1
155;1
129;1
233;1
160;1
176;1
243;1
110;1
302;1
137;1
207;1
130;1
214;1
470;1
102;1
157;1
159;1
230;1
350;1
257;1
259;1
273;1
440;1
265;1
229;1
278;1
140;1
128;1
188;1
211;1
195;1
408;1
219;1
424;1
147;1
109;1
201;1
152;1
145;1
113;1
206;1
116;1
