unique_values;counts
21;184
22;183
19;181
23;176
26;176
31;176
24;174
27;170
30;168
20;166
29;165
25;158
17;157
28;156
16;155
18;151
32;128
15;124
35;122
33;121
14;112
36;105
34;105
12;102
38;91
13;89
37;88
39;83
40;82
11;66
44;66
41;63
42;62
43;55
10;53
45;47
46;45
9;42
50;42
48;39
47;38
49;36
8;33
51;32
53;27
7;27
52;26
58;23
57;22
55;21
6;20
56;19
54;18
60;18
59;16
64;16
5;15
62;13
67;11
72;10
68;9
77;9
66;9
71;9
61;9
70;8
4;8
73;7
63;7
69;6
80;5
75;5
65;5
87;4
82;4
74;4
76;4
90;4
88;4
85;4
91;4
95;3
84;3
83;3
100;3
107;3
86;3
96;2
3;2
89;2
101;2
123;1
232;1
112;1
113;1
146;1
259;1
349;1
127;1
99;1
247;1
105;1
94;1
98;1
178;1
211;1
111;1
103;1
198;1
109;1
78;1
181;1
280;1
164;1
93;1
81;1
115;1
134;1
223;1
110;1
