unique_values;counts
23;2635
22;2633
21;2568
20;2557
25;2546
24;2533
26;2420
19;2411
27;2376
18;2322
28;2264
17;2099
29;2016
30;1947
16;1873
31;1835
15;1771
32;1626
33;1507
14;1472
34;1414
35;1339
13;1230
36;1220
37;1044
38;1021
12;974
39;882
41;788
40;781
11;740
42;686
43;585
44;560
10;536
45;521
46;435
47;413
49;377
48;369
50;313
9;304
51;278
52;245
53;221
54;217
55;193
8;191
56;163
57;148
58;147
59;139
7;123
62;114
61;110
60;106
6;92
64;91
63;84
65;74
66;74
68;73
67;68
5;52
69;51
72;45
73;44
77;39
70;39
76;36
71;32
74;32
79;31
75;31
4;30
86;22
80;22
78;22
84;18
89;18
93;18
83;18
88;17
82;17
87;17
81;17
92;16
85;15
91;13
98;13
107;11
90;11
99;10
96;10
94;10
104;7
101;7
97;7
120;6
3;6
114;6
102;6
112;5
115;5
100;5
118;5
116;4
109;4
119;4
145;4
103;4
123;4
95;4
106;4
105;3
129;3
121;3
110;3
133;3
126;3
124;3
155;3
150;3
113;2
158;2
161;2
170;2
111;2
157;2
205;2
128;2
108;2
132;2
268;2
264;2
186;2
169;2
117;2
199;2
143;2
141;2
147;2
138;2
152;1
154;1
137;1
175;1
151;1
224;1
174;1
233;1
209;1
226;1
187;1
139;1
230;1
244;1
122;1
212;1
184;1
246;1
739;1
256;1
146;1
329;1
149;1
172;1
190;1
176;1
125;1
160;1
179;1
242;1
213;1
351;1
153;1
130;1
167;1
135;1
412;1
136;1
195;1
140;1
144;1
166;1
181;1
180;1
194;1
