unique_values;counts
23;1951
24;1934
25;1908
21;1878
27;1861
28;1844
26;1840
22;1825
29;1822
30;1720
20;1704
31;1675
19;1638
32;1514
33;1502
18;1472
34;1405
35;1385
36;1257
17;1236
37;1185
38;1087
16;1065
39;1040
40;962
41;937
15;916
42;849
43;782
44;739
14;729
45;640
46;559
47;542
48;537
13;502
49;450
51;427
50;419
52;406
53;368
12;367
11;329
54;318
55;308
57;263
56;256
58;240
59;225
60;199
10;191
61;181
62;173
64;158
65;149
67;149
63;145
66;139
68;120
70;113
71;107
69;104
9;101
72;101
73;92
8;85
74;85
76;78
75;77
78;61
77;61
82;60
80;56
81;51
79;51
87;49
7;47
84;45
83;44
90;36
86;35
85;35
93;32
92;31
89;30
88;29
91;29
95;27
94;27
111;24
98;23
100;22
6;22
97;22
4;21
5;18
113;18
105;18
102;17
110;17
106;17
96;16
109;16
112;15
107;15
103;14
115;13
125;13
104;13
117;12
114;12
99;11
120;11
108;10
124;10
119;9
123;9
135;8
116;8
126;8
149;8
101;8
122;8
121;8
118;7
130;7
136;7
216;6
133;6
3;6
134;6
146;6
132;6
147;5
145;5
172;5
141;5
140;5
128;5
142;4
139;4
138;4
151;4
143;3
174;3
177;3
127;3
185;3
192;3
155;3
137;3
188;3
154;3
170;3
144;3
150;3
153;2
175;2
152;2
169;2
223;2
157;2
164;2
180;2
183;2
173;2
129;2
179;2
343;2
197;2
202;2
148;2
189;2
182;2
193;2
264;2
352;2
131;2
248;2
162;2
214;1
272;1
195;1
165;1
200;1
260;1
238;1
161;1
184;1
267;1
269;1
207;1
335;1
178;1
409;1
222;1
219;1
234;1
308;1
186;1
158;1
168;1
341;1
254;1
317;1
383;1
518;1
579;1
398;1
194;1
187;1
198;1
301;1
199;1
280;1
255;1
181;1
261;1
210;1
211;1
201;1
171;1
396;1
290;1
213;1
393;1
241;1
305;1
533;1
282;1
159;1
163;1
421;1
266;1
407;1
390;1
245;1
278;1
203;1
252;1
