unique_values;counts
25;5184
24;5125
27;5125
29;5105
22;5097
23;5076
26;5068
28;4917
21;4878
30;4758
31;4604
20;4528
32;4510
33;4273
34;4210
19;4091
18;3893
35;3779
36;3697
17;3626
37;3484
38;3230
39;3092
16;2992
40;2883
41;2748
42;2524
15;2411
43;2367
44;2301
45;2116
46;1918
14;1905
47;1808
48;1708
13;1624
49;1592
50;1470
51;1326
12;1305
52;1225
53;1129
54;1077
55;1023
11;989
56;965
57;828
58;768
59;755
60;723
10;719
61;646
62;624
63;548
64;527
66;474
9;467
65;452
67;408
68;390
71;354
69;353
70;341
8;334
72;316
74;260
73;253
75;241
76;229
77;224
78;207
79;200
7;183
81;171
84;161
80;152
82;151
83;142
86;133
85;132
91;122
87;120
89;111
6;107
90;107
5;104
92;103
88;102
93;95
94;90
96;83
98;79
97;77
95;68
99;67
105;64
102;59
104;57
107;54
106;54
109;53
100;52
4;52
108;51
101;48
103;46
119;40
110;39
111;38
116;36
112;36
114;33
113;33
129;29
125;28
123;26
118;26
120;25
121;25
139;25
128;25
135;25
115;24
127;23
132;23
124;21
140;21
138;20
117;19
146;19
137;19
133;18
134;17
141;17
142;16
126;16
149;15
148;15
147;15
168;15
122;15
3;14
143;14
131;14
150;14
130;14
136;13
173;12
156;12
162;12
154;11
151;11
189;10
166;10
167;10
158;10
163;10
144;10
152;10
185;9
157;9
179;8
180;8
145;8
155;8
160;8
208;8
172;8
171;7
170;7
153;7
186;7
165;7
161;7
175;7
204;6
177;6
198;6
164;6
192;6
210;6
181;6
188;6
203;6
196;6
159;6
176;6
178;6
184;5
183;5
205;5
223;5
193;5
258;5
187;5
182;5
219;5
251;5
174;5
211;4
207;4
200;4
197;4
253;4
212;4
218;4
169;4
216;3
246;3
371;3
191;3
272;3
336;3
202;3
241;3
195;3
213;3
275;3
217;3
221;3
244;3
225;3
215;3
214;3
199;3
190;3
325;3
431;2
267;2
284;2
250;2
269;2
304;2
227;2
262;2
222;2
234;2
322;2
201;2
512;2
496;2
278;2
231;2
601;2
233;2
279;2
238;2
209;2
252;2
254;2
232;2
297;2
194;2
240;2
361;2
277;1
407;1
722;1
521;1
341;1
351;1
330;1
268;1
382;1
468;1
386;1
1270;1
574;1
324;1
332;1
331;1
289;1
411;1
280;1
337;1
368;1
396;1
273;1
494;1
339;1
440;1
389;1
408;1
497;1
648;1
274;1
403;1
370;1
299;1
306;1
220;1
300;1
551;1
303;1
698;1
317;1
501;1
338;1
490;1
235;1
483;1
346;1
576;1
291;1
206;1
248;1
247;1
703;1
329;1
295;1
328;1
281;1
298;1
377;1
294;1
265;1
245;1
307;1
335;1
286;1
276;1
230;1
229;1
394;1
264;1
514;1
226;1
543;1
375;1
505;1
436;1
744;1
450;1
326;1
376;1
296;1
236;1
705;1
957;1
287;1
318;1
293;1
582;1
237;1
239;1
255;1
301;1
242;1
400;1
