unique_values;counts
26;147
24;141
23;141
29;139
27;132
33;132
18;131
28;128
32;127
31;125
20;124
21;118
25;117
30;114
34;112
22;111
19;111
35;109
37;96
36;94
17;90
16;88
40;88
39;83
38;81
41;72
15;68
14;59
42;58
44;55
43;54
47;52
48;49
45;48
46;44
13;44
51;41
55;40
53;39
52;37
50;37
59;35
54;34
49;32
11;29
12;29
60;25
58;25
57;25
56;24
10;24
62;21
61;18
8;17
66;17
9;17
68;16
67;16
64;13
72;12
76;12
65;11
75;11
71;11
70;10
74;10
63;9
80;8
81;8
69;8
73;6
6;6
82;6
78;6
88;5
77;5
79;5
85;5
86;4
92;4
95;4
94;3
93;3
83;3
99;3
84;3
87;2
112;2
91;2
110;2
96;2
90;1
108;1
97;1
111;1
141;1
128;1
135;1
126;1
5;1
102;1
98;1
103;1
106;1
4;1
181;1
89;1
