unique_values;counts
31;52953
30;52662
29;52530
32;51927
28;51313
33;50687
34;49838
27;48978
35;48433
26;47010
36;46142
25;44829
37;44355
24;41649
38;41596
39;38941
23;38640
40;36146
22;35074
41;34993
42;33175
21;31493
43;31138
44;29186
20;27880
45;27343
46;26228
19;24497
47;24200
48;22742
49;21078
18;21004
50;19582
51;18123
17;17371
52;16838
53;15689
16;14666
54;14165
55;13137
56;12489
57;11439
15;10988
58;10431
59;9673
60;8902
14;8267
61;8256
62;7555
63;6860
64;6357
65;5974
13;5569
66;5447
67;5071
68;4646
69;4276
70;3964
71;3732
12;3605
72;3498
73;3117
74;2988
75;2694
76;2539
77;2382
78;2208
11;2157
79;2085
80;1873
81;1772
82;1742
84;1631
83;1603
85;1482
86;1442
10;1405
87;1276
89;1249
88;1230
90;1156
91;1118
92;1079
94;990
93;956
96;902
95;896
9;828
99;824
97;817
100;793
98;761
101;727
103;699
102;686
104;662
105;649
107;624
106;580
109;568
108;527
110;521
111;506
114;501
116;498
8;495
113;472
112;458
115;445
117;436
118;431
119;421
121;415
120;375
125;374
127;372
124;371
123;366
128;342
122;340
129;339
130;330
126;320
140;300
132;300
135;296
134;295
133;292
138;290
131;289
142;285
143;283
136;272
144;261
139;257
137;247
146;244
147;242
7;240
141;238
149;227
151;225
150;217
145;209
148;209
154;203
160;202
153;195
152;194
157;190
155;182
161;172
159;170
156;170
165;168
167;165
158;160
6;160
162;157
5;156
164;155
163;153
168;152
176;140
166;140
172;138
175;136
174;135
182;132
188;132
170;132
171;130
181;129
177;128
191;127
173;125
179;123
169;120
178;119
184;119
189;119
183;117
180;113
187;109
186;104
185;104
193;103
194;100
190;98
198;95
192;94
206;94
197;91
195;91
204;90
199;88
200;85
196;84
201;80
209;77
202;76
212;75
203;74
208;74
213;73
219;71
205;71
222;71
210;70
223;70
214;69
218;67
4;67
225;67
207;67
211;65
220;63
215;62
224;61
233;59
230;58
217;57
228;57
231;56
216;56
226;56
241;55
237;53
235;52
221;51
242;50
243;49
250;48
227;48
232;46
229;46
236;45
255;45
238;44
249;44
244;42
251;42
239;42
248;42
234;41
254;41
262;40
246;39
247;39
266;37
259;37
265;37
268;36
240;36
253;35
245;34
290;34
276;33
257;33
260;31
263;31
261;30
278;30
252;30
273;30
264;29
279;29
272;29
269;28
267;28
270;28
292;27
277;27
256;27
280;27
258;26
283;26
271;25
299;24
274;24
275;23
318;23
304;23
301;23
281;22
291;22
282;22
300;22
294;21
297;21
319;21
3;20
310;20
286;19
289;19
284;19
295;19
303;19
302;19
322;18
293;18
288;18
285;17
327;17
308;16
307;16
296;16
325;15
317;15
334;15
315;15
305;15
321;15
306;14
326;14
329;14
345;14
336;14
333;13
287;13
298;13
311;13
330;13
335;13
373;13
357;12
342;12
361;12
349;11
360;11
337;11
332;10
401;10
313;10
346;10
394;10
362;10
316;10
403;9
378;9
417;9
324;9
359;9
331;9
348;9
343;9
358;9
396;9
320;9
323;9
398;9
352;9
347;9
386;9
338;8
353;8
411;8
351;8
341;8
314;8
363;8
