unique_values;counts
28;21025
25;20754
26;20745
29;20698
27;20528
30;20420
31;20077
24;19763
32;19447
33;18939
23;18652
34;18504
22;17920
35;17599
36;17093
21;16434
37;16087
38;15456
20;15023
39;14397
40;13817
19;13168
41;13134
42;12390
43;11495
18;11351
44;10881
45;10242
46;9593
17;9370
47;9029
48;8504
49;7867
16;7796
50;7341
51;7031
52;6458
53;6010
15;5811
54;5645
55;5409
56;4927
57;4772
14;4545
58;4437
59;4329
60;3951
61;3678
13;3647
62;3531
63;3365
64;3163
65;2986
66;2757
67;2622
12;2621
68;2472
69;2362
70;2327
71;2049
72;1997
73;1887
11;1877
75;1792
74;1764
76;1672
77;1538
78;1500
10;1493
79;1378
81;1290
80;1270
82;1146
83;1131
85;1057
84;1044
86;1005
9;955
87;949
88;911
89;897
90;880
92;774
93;772
91;768
94;752
95;642
99;641
97;632
96;626
98;614
102;603
101;574
100;557
103;526
104;503
106;490
105;477
107;457
108;452
110;429
109;427
112;373
111;372
8;370
115;361
116;354
120;345
113;342
119;330
114;326
118;320
117;315
123;297
127;292
122;276
121;275
124;275
125;271
7;252
128;236
126;230
129;229
130;227
131;224
133;212
134;211
136;197
138;196
139;193
132;188
137;186
135;182
141;175
145;173
144;169
143;166
140;164
142;161
146;152
148;146
147;145
150;143
6;140
149;137
152;135
151;135
157;128
153;123
156;121
159;118
158;117
154;116
162;114
167;113
160;110
155;109
166;108
169;107
164;104
171;104
165;100
161;100
170;94
5;91
178;89
163;88
172;85
168;84
179;80
173;79
185;78
174;77
177;75
181;75
180;74
175;73
187;71
188;68
183;67
184;67
194;65
186;61
182;61
201;61
189;60
195;59
191;59
176;57
190;56
193;54
206;53
200;49
192;48
202;48
196;48
197;47
199;47
203;46
4;46
222;43
207;41
204;40
212;40
223;39
214;39
208;39
219;39
205;38
218;37
198;37
241;36
242;36
247;36
215;35
227;34
234;34
216;33
210;33
224;33
211;32
3;32
226;32
213;32
209;31
220;31
221;30
230;30
217;30
228;29
232;29
264;28
249;28
238;27
233;27
229;26
263;26
245;26
237;26
251;26
258;25
236;25
225;25
254;24
239;24
243;23
257;23
256;23
231;23
250;23
246;22
261;21
270;21
248;20
266;20
244;19
279;19
259;19
240;19
262;18
253;17
274;17
265;17
235;17
268;17
277;16
269;16
267;16
314;16
252;16
278;15
260;15
282;15
310;15
275;15
319;14
272;14
284;14
280;14
286;14
294;13
291;13
290;13
337;13
293;13
288;13
295;13
305;13
298;12
306;12
273;12
299;12
297;12
334;11
301;11
287;11
285;11
329;11
312;11
281;11
303;10
283;10
276;10
344;10
351;10
255;10
302;10
323;9
311;9
325;9
271;9
357;9
328;9
317;9
353;9
313;9
331;9
304;9
341;9
335;8
315;8
318;8
339;8
289;8
332;8
348;8
307;8
320;8
300;7
292;7
347;7
296;7
345;7
316;7
327;7
355;7
324;6
343;6
372;6
308;6
377;6
340;6
382;5
386;5
321;5
356;5
360;5
326;5
398;5
367;5
336;5
309;5
425;5
441;5
342;5
322;5
390;5
422;5
434;5
432;5
460;4
374;4
418;4
401;4
330;4
466;4
376;4
409;4
408;4
430;4
373;4
477;4
375;4
361;4
443;4
404;4
394;4
399;4
371;4
397;4
417;4
385;4
384;4
358;4
465;4
346;4
406;4
393;4
364;4
411;4
415;3
488;3
520;3
450;3
528;3
485;3
369;3
496;3
479;3
381;3
431;3
498;3
427;3
461;3
370;3
505;3
531;3
354;3
419;3
392;3
594;3
426;3
469;3
407;3
359;3
349;3
383;3
442;3
366;3
368;3
464;2
602;2
459;2
403;2
400;2
588;2
495;2
514;2
519;2
444;2
362;2
410;2
446;2
396;2
440;2
391;2
365;2
586;2
455;2
501;2
665;2
551;2
672;2
575;2
458;2
388;2
363;2
699;2
439;2
379;2
457;2
480;2
454;2
395;2
352;2
506;2
424;2
685;2
451;2
412;2
675;2
541;2
402;2
333;2
474;2
476;2
456;2
559;2
482;2
467;2
523;2
416;2
545;2
389;2
554;2
475;2
516;1
633;1
1311;1
542;1
619;1
558;1
668;1
932;1
725;1
813;1
512;1
1247;1
1112;1
508;1
777;1
473;1
882;1
463;1
693;1
1212;1
800;1
722;1
833;1
913;1
1015;1
1312;1
1433;1
904;1
1210;1
1264;1
750;1
571;1
524;1
868;1
1057;1
1027;1
1211;1
929;1
437;1
582;1
484;1
552;1
574;1
692;1
696;1
842;1
641;1
581;1
537;1
620;1
812;1
732;1
546;1
990;1
576;1
1181;1
507;1
1361;1
950;1
923;1
1337;1
1466;1
728;1
1355;1
614;1
756;1
824;1
892;1
830;1
773;1
960;1
807;1
1410;1
978;1
910;1
2967;1
662;1
785;1
1124;1
1656;1
819;1
453;1
562;1
670;1
673;1
601;1
538;1
583;1
569;1
769;1
604;1
478;1
490;1
705;1
596;1
470;1
1235;1
1273;1
683;1
536;1
338;1
1095;1
708;1
714;1
1115;1
378;1
15277;1
447;1
572;1
517;1
563;1
515;1
435;1
591;1
609;1
1340;1
720;1
659;1
350;1
472;1
686;1
858;1
742;1
817;1
565;1
781;1
729;1
757;1
436;1
481;1
510;1
486;1
567;1
522;1
433;1
423;1
751;1
471;1
771;1
527;1
724;1
511;1
533;1
647;1
627;1
532;1
613;1
658;1
414;1
630;1
452;1
438;1
640;1
483;1
1152;1
580;1
644;1
760;1
420;1
