unique_values;counts
24;163
25;155
19;152
17;151
23;151
20;142
21;137
27;136
16;135
22;135
26;134
29;129
18;127
28;123
30;112
31;95
15;90
32;81
33;76
12;74
14;72
34;64
35;63
13;60
11;59
37;57
38;54
36;48
10;46
41;44
39;43
40;40
45;37
43;37
44;35
42;32
48;24
8;22
9;21
53;20
51;19
49;18
5;16
47;16
6;16
46;15
52;15
50;15
55;14
58;11
54;11
56;10
4;8
7;8
66;7
60;7
65;6
62;6
59;6
61;6
70;5
63;5
74;5
72;4
77;4
69;4
82;3
68;3
57;3
3;3
81;3
103;3
73;3
86;2
67;2
120;2
89;2
71;2
85;2
101;2
88;2
91;2
80;2
64;2
116;1
126;1
93;1
94;1
79;1
137;1
111;1
78;1
76;1
143;1
175;1
83;1
172;1
105;1
130;1
75;1
112;1
