unique_values;counts
25;4551
24;4547
27;4515
28;4504
29;4470
26;4457
23;4356
30;4204
22;4161
21;3998
31;3923
20;3900
32;3867
33;3782
34;3602
19;3514
35;3401
18;3256
36;3204
37;2899
38;2869
39;2793
17;2776
16;2452
40;2435
41;2357
42;2188
43;2077
15;2008
44;1950
45;1771
14;1733
46;1690
47;1527
13;1501
48;1422
49;1353
50;1239
12;1191
51;1132
52;1095
53;985
54;959
55;875
11;830
56;744
57;728
59;700
58;665
60;584
10;549
62;526
61;523
63;510
64;446
65;442
9;421
66;417
67;394
68;353
69;333
71;327
70;320
8;287
72;267
7;257
73;249
74;244
75;224
6;223
77;217
76;210
80;191
78;189
79;185
81;167
86;154
83;150
85;148
84;146
82;143
87;139
89;120
90;117
88;117
96;114
5;107
91;104
93;100
98;98
95;97
94;96
92;95
102;91
97;86
100;81
104;78
99;77
4;71
101;71
105;63
103;61
107;58
111;56
108;54
106;54
117;51
113;50
110;50
109;47
118;43
112;43
125;40
114;39
120;36
121;35
115;35
123;34
130;34
116;33
124;31
127;30
122;27
135;27
136;26
144;26
119;25
133;24
141;23
139;23
150;23
137;23
142;22
132;22
143;20
128;20
131;20
145;20
149;19
134;19
147;18
138;18
126;18
157;18
152;17
140;17
159;17
148;16
154;14
189;14
151;14
3;13
182;13
153;12
188;12
129;12
160;12
146;12
172;12
161;11
190;11
155;11
156;10
171;10
177;9
178;9
166;9
181;9
169;9
222;8
167;8
193;8
163;8
195;8
174;8
184;8
196;8
199;7
183;7
210;7
176;7
175;7
202;7
194;7
191;7
224;7
164;7
205;7
158;6
204;6
198;6
217;6
250;6
200;6
192;6
170;6
187;6
231;5
173;5
225;5
179;5
165;5
180;5
227;5
209;5
197;5
162;5
203;5
220;4
226;4
271;4
251;4
236;4
230;4
235;4
168;4
248;4
201;4
186;4
221;4
208;4
211;4
237;4
219;4
254;3
337;3
247;3
223;3
245;3
336;3
270;3
239;3
207;3
185;3
284;3
274;3
233;3
267;3
273;3
257;3
345;3
310;2
312;2
322;2
287;2
246;2
214;2
354;2
549;2
313;2
368;2
596;2
300;2
295;2
397;2
206;2
215;2
242;2
288;2
376;2
216;2
589;2
234;2
240;2
228;2
256;2
238;2
212;2
281;2
355;2
374;2
292;2
291;2
249;2
301;2
218;2
457;1
282;1
259;1
268;1
326;1
465;1
359;1
413;1
348;1
801;1
309;1
454;1
213;1
416;1
243;1
260;1
264;1
232;1
323;1
262;1
379;1
277;1
377;1
306;1
399;1
407;1
603;1
285;1
347;1
297;1
1092;1
1094;1
1104;1
1288;1
350;1
424;1
384;1
540;1
278;1
275;1
380;1
403;1
475;1
421;1
388;1
279;1
293;1
394;1
307;1
294;1
418;1
390;1
321;1
364;1
497;1
349;1
299;1
320;1
311;1
687;1
276;1
296;1
241;1
1;1
357;1
375;1
263;1
253;1
493;1
244;1
305;1
395;1
261;1
363;1
269;1
298;1
520;1
339;1
527;1
524;1
