unique_values;counts
30;14864
29;14684
28;14452
31;14365
27;14245
32;14206
26;14012
25;13900
33;13837
34;13557
24;13157
35;12965
36;12459
23;12375
37;11984
38;11644
22;11602
39;11138
21;11044
40;10380
20;10196
41;10168
42;9414
43;8915
19;8685
44;8477
45;8069
18;7551
46;7538
47;7109
48;6674
17;6479
49;6414
50;6052
51;5681
16;5453
52;5226
53;5100
54;4544
15;4408
55;4370
56;3980
57;3837
58;3559
59;3418
14;3397
60;3112
61;2927
62;2812
63;2679
13;2594
65;2418
64;2409
66;2311
68;2011
12;1948
67;1946
70;1884
69;1855
71;1661
72;1648
73;1418
74;1398
11;1355
75;1335
76;1223
77;1212
78;1137
79;1076
80;1029
81;998
82;981
10;939
83;895
84;858
86;796
85;783
87;774
88;718
89;692
90;679
91;620
92;586
93;579
9;571
96;526
95;496
94;483
98;451
97;449
99;432
104;411
102;390
100;386
101;379
103;352
8;345
105;342
107;337
106;328
110;306
108;304
109;280
112;271
113;262
111;259
114;239
115;238
117;225
7;219
116;216
119;213
118;205
121;198
120;191
123;191
128;174
122;174
125;174
127;170
126;167
124;167
132;155
133;152
130;151
129;149
134;144
135;143
138;131
6;128
131;125
142;121
136;120
139;117
137;114
150;113
143;112
140;112
144;111
147;103
155;101
146;101
145;97
149;96
141;95
148;92
151;91
158;89
153;85
152;82
154;79
161;73
157;70
163;68
159;67
170;66
171;65
156;64
5;62
164;61
184;60
177;57
178;56
160;56
162;56
165;56
167;54
174;54
185;53
180;52
192;51
172;49
183;49
186;49
176;48
169;48
181;47
168;47
173;47
166;45
179;45
191;43
198;43
187;43
196;43
200;42
182;40
197;38
189;37
175;35
212;34
194;34
193;33
190;33
202;32
199;31
201;31
219;31
195;30
225;30
206;29
214;29
243;28
215;28
226;27
188;27
204;26
208;26
207;26
203;25
218;25
228;25
4;25
222;24
211;24
209;23
236;23
230;22
217;21
223;21
242;21
205;20
221;20
246;20
229;20
216;20
285;20
231;20
244;19
240;19
220;19
255;19
210;19
213;18
241;18
254;17
282;17
284;17
294;17
238;17
233;17
224;16
249;16
227;16
250;16
278;16
248;16
264;15
245;14
312;14
232;14
307;13
239;13
266;13
247;13
303;13
295;13
287;13
253;13
251;12
279;12
275;12
252;12
296;12
273;12
262;11
293;11
299;11
286;11
261;11
258;11
315;11
234;11
289;10
283;10
298;10
281;10
269;10
290;10
267;10
271;10
304;10
292;10
256;10
322;9
259;9
297;9
268;9
257;9
319;8
318;8
339;8
274;8
306;8
265;8
272;8
270;8
341;8
336;7
260;7
300;7
309;7
263;7
280;7
235;7
288;7
362;6
291;6
277;6
398;6
302;6
348;6
429;6
337;6
301;6
338;5
365;5
346;5
325;5
347;5
367;5
329;5
334;5
349;5
332;5
368;5
382;5
384;5
237;5
311;5
426;5
424;5
317;5
433;5
412;5
316;5
276;5
308;4
364;4
360;4
469;4
403;4
393;4
431;4
441;4
355;4
388;4
377;4
305;4
421;4
327;4
461;4
328;4
371;4
396;4
353;4
422;4
331;4
409;4
333;4
378;4
343;4
380;4
372;4
381;4
402;3
335;3
531;3
313;3
390;3
423;3
416;3
354;3
449;3
3;3
538;3
369;3
586;3
310;3
408;3
399;3
434;3
344;3
405;3
428;3
356;3
389;3
342;3
357;3
370;3
387;3
352;3
330;3
321;3
447;2
596;2
406;2
436;2
468;2
500;2
350;2
495;2
486;2
361;2
314;2
488;2
386;2
418;2
573;2
397;2
474;2
373;2
501;2
420;2
419;2
392;2
430;2
345;2
400;2
435;2
407;2
375;2
323;2
324;2
413;2
358;2
391;2
509;2
394;2
526;2
598;2
585;2
401;2
575;2
326;2
618;2
458;2
667;2
529;2
527;2
493;2
522;2
463;2
383;2
751;2
472;2
374;2
320;2
376;1
470;1
379;1
548;1
467;1
490;1
547;1
425;1
577;1
615;1
523;1
483;1
496;1
457;1
540;1
505;1
988;1
499;1
442;1
569;1
558;1
560;1
521;1
553;1
627;1
824;1
714;1
766;1
772;1
448;1
1447;1
580;1
619;1
590;1
685;1
776;1
456;1
541;1
528;1
385;1
693;1
979;1
589;1
340;1
633;1
774;1
545;1
427;1
552;1
453;1
1236;1
559;1
645;1
502;1
450;1
503;1
516;1
737;1
790;1
665;1
492;1
745;1
410;1
513;1
574;1
786;1
836;1
446;1
612;1
518;1
438;1
723;1
432;1
366;1
482;1
691;1
530;1
437;1
808;1
597;1
514;1
404;1
625;1
562;1
415;1
546;1
582;1
570;1
764;1
1183;1
611;1
452;1
539;1
533;1
478;1
439;1
642;1
444;1
475;1
465;1
621;1
480;1
729;1
626;1
