unique_values;counts
28;158
36;142
31;139
24;139
30;137
26;136
29;132
32;132
27;128
33;119
22;118
23;118
35;117
25;116
19;114
34;114
37;112
21;112
20;112
18;109
41;98
39;93
40;93
38;86
17;85
43;75
44;73
42;73
16;70
13;69
45;65
15;57
49;56
14;55
46;53
12;53
47;50
48;47
56;46
53;44
54;43
51;42
55;40
52;34
10;31
11;30
50;29
62;26
59;25
63;24
58;23
61;22
57;21
9;19
60;19
66;16
7;16
8;14
71;14
69;14
64;11
65;11
6;11
78;10
70;10
74;9
77;9
80;8
86;8
79;8
82;7
68;7
81;7
75;7
72;7
73;6
5;6
76;6
67;6
83;5
84;5
4;4
87;4
112;4
85;4
89;3
88;3
90;3
122;3
108;3
94;3
91;2
161;2
98;2
97;2
104;2
166;2
96;2
101;2
103;2
342;2
99;2
124;2
92;2
136;2
106;2
119;2
159;1
155;1
3;1
147;1
114;1
144;1
123;1
150;1
115;1
341;1
121;1
107;1
220;1
154;1
168;1
130;1
179;1
127;1
157;1
95;1
359;1
116;1
551;1
132;1
284;1
142;1
135;1
100;1
196;1
210;1
175;1
164;1
424;1
133;1
202;1
224;1
131;1
143;1
173;1
