unique_values;counts
21;216
25;215
23;206
22;205
28;203
24;203
19;194
20;192
26;186
27;183
18;175
9;164
29;163
30;159
32;155
31;152
15;150
8;145
33;144
12;143
14;142
10;137
17;131
34;127
16;126
7;121
11;117
13;113
37;107
38;104
35;103
36;95
39;83
6;76
40;70
41;65
42;64
43;56
46;54
45;49
44;46
5;44
48;43
47;36
49;29
51;27
50;23
52;22
53;19
56;18
55;16
59;15
54;15
57;14
58;12
64;12
3;10
63;10
4;10
61;9
69;9
66;8
60;7
62;7
75;5
76;4
71;4
72;3
83;3
70;3
73;2
65;2
80;2
96;2
68;2
74;2
99;1
67;1
79;1
97;1
104;1
101;1
119;1
77;1
82;1
153;1
176;1
81;1
115;1
84;1
89;1
129;1
87;1
86;1
78;1
100;1
198;1
98;1
95;1
173;1
355;1
