unique_values;counts
32;15152
31;15073
33;14910
30;14840
29;14794
35;14631
34;14599
28;14276
36;14273
27;13864
37;13490
26;13304
38;13249
39;13074
25;12762
40;12395
41;12132
24;12125
42;11384
23;11225
43;11142
44;10599
22;10379
45;10070
46;9667
21;9401
47;9142
48;8822
49;8175
20;8136
50;8104
51;7616
19;7189
52;7077
53;6835
54;6690
55;6217
18;6042
56;5895
57;5715
58;5371
59;5224
17;4833
60;4744
61;4677
62;4488
63;4140
64;3954
16;3847
65;3759
66;3608
67;3320
68;3224
69;3167
15;3043
70;2959
71;2707
72;2647
73;2455
74;2438
75;2201
76;2180
14;2091
77;2015
78;1977
79;1974
80;1781
81;1710
82;1639
83;1575
84;1546
85;1520
13;1486
86;1440
87;1399
88;1302
89;1289
90;1249
92;1217
91;1165
93;1115
94;1104
12;1076
96;1047
95;1013
97;916
98;907
99;888
100;874
101;851
102;850
103;847
104;762
11;758
106;753
105;736
107;696
111;658
110;655
108;652
112;615
113;601
109;597
114;549
10;527
115;526
117;521
118;518
116;505
120;467
119;465
121;450
123;442
124;426
125;417
122;416
127;405
126;394
129;357
128;344
133;341
9;336
130;335
131;323
132;316
134;285
139;285
138;280
136;278
137;275
135;273
142;267
141;257
145;249
143;244
140;238
144;231
148;230
146;210
147;209
149;204
150;203
151;197
154;191
156;191
153;189
152;189
157;186
155;179
159;174
161;172
160;160
8;160
165;153
158;148
173;147
167;142
163;141
166;139
172;137
171;137
170;135
162;133
169;127
164;125
168;119
175;116
184;110
181;109
7;105
174;102
178;98
183;98
180;97
179;96
176;96
177;95
192;93
186;93
182;93
190;92
185;90
187;87
193;82
188;82
194;80
203;73
189;71
200;71
197;71
191;70
6;70
201;70
207;68
198;67
196;67
5;65
199;63
195;63
202;62
211;60
204;59
210;59
209;58
216;57
208;56
212;56
205;53
219;52
206;50
222;50
230;47
225;46
217;46
215;46
218;44
220;43
213;42
224;40
221;37
238;37
214;37
239;36
232;36
223;35
234;35
227;35
228;34
226;33
231;33
245;33
229;33
233;32
253;32
241;31
237;30
240;30
236;29
255;29
235;28
248;28
251;28
254;27
256;26
260;26
250;26
4;25
242;24
244;24
249;24
243;24
252;23
269;23
283;23
270;23
259;22
268;22
263;22
275;22
266;22
246;22
273;22
294;21
247;20
264;20
272;20
277;20
257;20
258;19
296;19
278;19
276;19
267;18
262;17
299;16
316;16
261;16
287;16
274;15
285;15
282;15
295;15
300;14
293;14
286;14
288;13
309;13
302;13
315;12
297;12
312;12
292;12
345;12
284;12
298;12
301;11
3;11
310;11
291;11
280;11
319;11
271;10
265;10
311;10
306;10
318;10
281;10
351;10
323;9
289;9
329;9
325;9
339;9
387;9
303;9
321;9
349;8
347;8
304;8
341;8
340;8
335;8
279;8
390;8
307;8
346;8
336;8
305;8
331;8
343;8
313;8
368;7
328;7
355;7
333;7
332;7
322;7
383;7
377;7
337;7
386;7
290;7
356;6
308;6
342;6
364;6
366;6
404;6
378;6
320;6
314;6
353;6
397;6
411;6
317;5
373;5
344;5
550;5
376;5
403;5
330;5
327;5
367;5
363;5
362;5
359;5
392;5
485;5
495;5
405;5
352;5
391;5
455;5
437;5
421;5
338;5
402;5
348;4
398;4
419;4
415;4
372;4
414;4
499;4
334;4
432;4
370;4
427;4
361;4
381;4
357;4
566;4
429;4
388;4
407;4
417;4
461;4
389;4
396;4
431;3
354;3
420;3
395;3
412;3
471;3
369;3
326;3
379;3
375;3
449;3
409;3
477;3
428;3
394;3
443;3
358;3
463;3
491;3
440;3
418;3
371;3
350;3
527;3
434;3
580;2
505;2
425;2
399;2
490;2
454;2
324;2
514;2
374;2
384;2
360;2
475;2
494;2
484;2
650;2
439;2
603;2
506;2
551;2
413;2
468;2
444;2
518;2
467;2
365;2
445;2
441;2
503;2
509;2
652;2
453;2
435;2
382;2
504;2
541;2
426;2
628;2
385;2
416;2
496;2
380;2
513;2
633;1
584;1
400;1
573;1
433;1
702;1
481;1
543;1
1286;1
618;1
868;1
438;1
597;1
473;1
532;1
508;1
448;1
622;1
512;1
674;1
668;1
711;1
456;1
533;1
530;1
862;1
594;1
424;1
538;1
549;1
777;1
446;1
613;1
401;1
393;1
724;1
423;1
637;1
561;1
646;1
578;1
534;1
524;1
916;1
645;1
452;1
583;1
681;1
422;1
462;1
556;1
617;1
989;1
627;1
535;1
542;1
677;1
546;1
1427;1
459;1
682;1
436;1
410;1
973;1
406;1
576;1
1000;1
641;1
501;1
493;1
749;1
511;1
447;1
457;1
599;1
565;1
474;1
489;1
515;1
408;1
544;1
483;1
450;1
567;1
602;1
510;1
545;1
593;1
460;1
634;1
662;1
480;1
558;1
690;1
519;1
592;1
