unique_values;counts
22;288
21;282
19;280
17;264
20;259
18;247
24;233
23;231
25;226
15;222
16;217
14;209
26;180
12;169
13;161
28;157
27;151
29;145
11;134
30;126
10;114
31;104
32;100
33;89
35;86
34;78
9;78
36;64
38;55
37;52
8;49
41;47
39;45
40;43
7;42
6;30
42;29
46;29
43;25
44;20
4;20
5;18
47;18
51;15
48;15
50;14
53;14
49;14
52;13
56;11
45;11
60;7
57;7
65;5
59;5
67;5
55;5
58;4
62;4
64;4
74;4
88;4
87;4
78;3
3;3
86;3
69;3
81;2
80;2
75;2
91;2
61;2
54;2
107;2
82;2
71;2
103;2
72;2
68;2
79;2
66;2
70;2
140;1
76;1
184;1
133;1
444;1
141;1
167;1
147;1
256;1
165;1
77;1
105;1
276;1
99;1
95;1
89;1
136;1
134;1
124;1
102;1
127;1
92;1
73;1
106;1
98;1
63;1
84;1
93;1
83;1
97;1
