unique_values;counts
17;122
16;121
21;117
19;107
22;106
15;104
18;102
20;100
23;98
24;94
25;90
26;86
27;86
14;85
29;85
28;73
12;71
33;71
11;71
32;68
31;67
30;65
13;62
34;60
35;53
36;48
39;46
10;43
38;38
40;38
41;34
8;34
37;34
44;32
43;31
42;29
9;28
47;24
7;22
45;21
50;20
52;18
46;17
6;15
51;13
58;13
53;13
48;13
61;11
54;10
49;10
56;9
55;8
59;7
62;7
75;7
74;6
60;6
65;6
57;6
4;5
63;5
70;5
64;4
96;4
68;4
67;3
76;3
91;3
87;3
83;3
71;3
86;3
66;3
93;2
104;2
78;2
102;2
89;2
69;2
81;2
5;2
82;2
111;1
73;1
77;1
72;1
127;1
134;1
85;1
2;1
132;1
187;1
142;1
120;1
152;1
106;1
155;1
181;1
129;1
133;1
167;1
164;1
357;1
116;1
210;1
79;1
158;1
103;1
117;1
80;1
243;1
146;1
110;1
176;1
113;1
