unique_values;counts
20;8900
21;8733
22;8632
19;8540
18;8470
23;8349
17;8151
24;7970
16;7915
15;7597
25;7337
14;6923
26;6887
27;6632
28;5931
13;5534
29;5412
30;5154
31;4541
12;4479
32;4168
33;3772
11;3635
34;3456
10;3199
35;3101
36;2745
9;2693
37;2429
38;2285
39;2025
40;1775
41;1604
42;1517
43;1301
8;1295
44;1211
45;1115
46;996
47;873
48;815
49;738
50;644
7;604
51;585
52;541
53;532
55;438
54;435
6;433
56;405
57;333
59;293
60;287
58;276
5;251
61;236
62;218
63;200
64;188
66;184
65;179
67;155
69;154
68;146
72;134
73;126
70;120
71;109
75;88
74;88
76;85
79;79
4;78
77;74
81;73
78;72
80;65
84;64
82;62
87;58
85;56
83;54
89;48
86;48
88;46
92;43
90;40
91;40
95;36
97;29
94;28
104;28
103;27
107;25
98;25
102;25
99;24
96;24
105;23
93;23
106;22
101;22
109;20
3;19
111;18
116;17
110;17
132;15
112;15
133;14
128;13
127;13
100;13
118;12
113;12
120;11
117;11
122;11
108;11
115;10
119;10
131;9
130;9
136;9
123;8
114;8
121;7
142;7
151;6
153;6
138;5
184;5
150;5
134;5
124;5
148;5
139;5
166;5
158;5
135;5
126;5
125;4
129;4
176;4
141;4
144;4
147;4
157;4
161;4
160;3
200;3
187;3
156;3
198;3
170;3
155;3
137;3
175;3
177;3
140;3
154;3
143;2
182;2
164;2
231;2
165;2
185;2
180;2
208;2
189;2
301;2
224;2
214;2
234;2
145;2
193;2
221;2
159;2
658;1
420;1
584;1
178;1
172;1
502;1
237;1
306;1
186;1
162;1
281;1
188;1
201;1
266;1
270;1
369;1
215;1
192;1
223;1
217;1
444;1
173;1
174;1
212;1
236;1
233;1
283;1
229;1
272;1
244;1
191;1
245;1
179;1
169;1
213;1
303;1
252;1
232;1
168;1
202;1
315;1
167;1
152;1
255;1
341;1
210;1
171;1
203;1
206;1
222;1
225;1
149;1
