unique_values;counts
24;534
23;508
25;487
26;485
18;470
22;467
27;464
29;458
21;457
19;453
20;448
28;443
17;416
30;413
16;404
32;391
15;388
31;381
33;356
13;352
14;335
34;317
12;295
11;294
35;292
38;276
37;265
36;261
10;244
39;206
41;191
8;190
9;185
40;185
42;171
43;147
44;145
45;128
47;115
7;111
46;106
48;100
49;91
6;87
50;81
5;69
52;61
54;55
58;51
55;49
4;49
51;47
53;46
60;38
56;35
59;34
57;32
62;25
61;24
65;23
66;22
63;20
3;18
64;17
67;17
71;16
68;14
79;13
72;12
77;12
83;11
69;11
73;9
76;9
70;8
82;8
84;7
81;6
74;6
80;6
91;6
85;6
78;5
86;5
101;5
97;4
95;4
89;4
75;4
106;3
96;3
105;3
133;3
94;3
90;2
2;2
98;2
118;2
88;2
121;2
87;2
92;2
113;1
107;1
279;1
112;1
136;1
114;1
111;1
127;1
117;1
115;1
103;1
128;1
120;1
104;1
132;1
143;1
137;1
165;1
178;1
149;1
99;1
108;1
109;1
125;1
119;1
100;1
