unique_values;counts
24;12357
23;12164
26;12161
25;12062
22;12010
27;11855
28;11526
21;11421
29;11226
20;11040
30;10923
31;10313
19;10179
32;9780
18;9424
33;9232
34;8733
17;8493
35;8279
36;7805
16;7759
37;7313
38;6948
15;6540
39;6397
40;6035
41;5506
14;5291
42;5129
43;4879
44;4421
13;4387
45;4082
46;3713
12;3571
47;3476
48;3279
49;2970
50;2770
51;2663
11;2607
52;2359
53;2206
54;2050
10;2003
55;1939
56;1787
57;1609
58;1518
59;1455
9;1385
60;1259
61;1240
62;1152
63;1094
64;1020
65;1009
66;893
8;880
67;842
68;776
69;736
70;680
71;659
72;610
73;603
7;571
74;532
75;529
77;503
78;486
76;477
79;461
82;388
81;383
80;373
83;368
6;363
84;342
85;313
86;305
88;304
87;299
90;267
89;266
92;247
91;244
94;231
96;226
93;208
95;207
97;195
98;174
101;172
99;170
5;156
100;152
104;144
102;143
103;140
105;131
107;130
108;124
106;119
109;117
111;112
113;109
116;107
112;103
110;100
118;99
119;98
120;92
115;89
117;86
114;85
128;76
124;76
122;73
126;72
125;72
127;69
135;66
4;64
123;61
131;60
136;60
121;60
132;55
134;54
137;54
133;54
147;53
142;52
139;51
129;48
141;46
140;44
143;43
153;42
145;41
138;41
130;41
158;39
144;38
156;38
149;38
146;37
154;36
151;35
150;34
148;33
166;33
152;33
157;32
162;30
163;28
3;27
171;25
159;25
165;24
168;24
160;24
167;23
161;23
175;23
191;21
164;21
176;21
174;20
173;20
155;20
179;20
172;19
178;19
184;18
169;17
177;17
185;17
181;16
183;15
188;15
203;15
198;14
170;14
182;14
187;14
180;13
211;13
199;13
194;13
206;13
186;12
207;12
190;12
218;12
223;11
240;11
192;11
196;11
200;10
210;10
205;10
193;10
204;9
226;9
238;9
189;9
201;9
209;8
217;8
232;8
208;8
213;8
202;8
266;7
229;7
195;7
220;7
227;7
221;6
235;6
269;6
271;6
239;6
214;6
231;6
224;6
264;5
256;5
282;5
230;5
212;5
265;5
197;5
228;5
225;5
215;5
279;5
281;4
254;4
243;4
246;4
285;4
251;4
262;4
309;4
248;4
216;4
307;4
236;4
245;4
268;4
234;4
275;4
255;4
317;4
233;3
341;3
261;3
219;3
359;3
247;3
252;3
237;3
427;3
273;3
274;3
258;3
257;3
241;3
283;3
284;3
367;2
244;2
293;2
263;2
253;2
319;2
338;2
310;2
433;2
403;2
242;2
368;2
287;2
362;2
311;2
280;2
374;2
478;2
300;2
421;2
400;2
250;2
277;2
276;2
329;2
316;2
323;2
349;2
301;2
292;2
267;2
296;2
330;2
259;2
357;2
322;2
331;1
314;1
405;1
340;1
335;1
496;1
286;1
554;1
663;1
249;1
610;1
324;1
742;1
371;1
556;1
302;1
313;1
850;1
538;1
325;1
451;1
399;1
299;1
514;1
504;1
306;1
468;1
580;1
449;1
578;1
320;1
436;1
290;1
390;1
579;1
455;1
358;1
396;1
426;1
402;1
288;1
278;1
480;1
270;1
344;1
346;1
328;1
1118;1
500;1
326;1
318;1
360;1
272;1
339;1
1160;1
289;1
418;1
366;1
563;1
880;1
379;1
1203;1
342;1
334;1
260;1
361;1
308;1
31825;1
639;1
1323;1
499;1
423;1
447;1
410;1
545;1
428;1
1177;1
2;1
430;1
530;1
327;1
353;1
516;1
453;1
463;1
354;1
442;1
523;1
