unique_values;counts
25;390
28;384
27;381
32;378
24;365
21;361
31;361
26;360
29;358
30;348
23;343
33;334
22;332
20;326
19;319
18;312
34;306
37;297
36;293
38;282
35;280
16;276
17;270
39;254
40;252
41;244
42;213
43;210
15;201
44;192
14;186
45;184
46;177
48;147
47;143
13;143
49;125
50;124
53;119
51;114
52;101
12;99
54;92
55;88
56;88
11;84
57;73
58;69
59;59
61;53
60;51
63;50
67;47
65;46
62;44
64;39
10;38
68;37
72;36
66;33
71;29
69;28
70;26
75;19
77;18
80;18
73;17
74;17
78;16
8;15
9;15
76;14
85;13
86;13
6;13
82;13
84;13
81;12
7;12
79;11
88;11
87;11
95;8
90;8
106;7
97;7
3;6
98;6
5;6
83;6
94;6
113;5
89;5
92;5
111;5
91;5
112;4
93;4
107;4
108;4
115;4
109;4
120;4
110;4
105;4
102;4
103;3
125;3
100;3
118;3
144;3
126;3
99;3
96;3
101;3
4;3
139;2
175;2
116;2
153;2
114;2
104;2
121;2
132;2
194;1
140;1
128;1
137;1
156;1
172;1
286;1
208;1
157;1
134;1
197;1
158;1
123;1
129;1
242;1
176;1
117;1
189;1
147;1
138;1
168;1
164;1
146;1
133;1
