unique_values;counts
19;501
20;496
21;453
23;435
22;433
18;417
17;380
24;372
26;358
25;346
27;346
16;318
28;312
30;295
15;279
32;255
31;252
29;250
34;221
14;218
33;209
35;186
36;177
13;139
38;138
37;135
39;121
41;114
12;114
40;113
42;92
44;80
11;77
45;77
43;63
46;63
10;61
9;51
49;50
50;48
47;44
48;43
52;33
51;32
55;29
53;29
54;26
60;23
56;21
58;21
59;20
8;19
7;18
57;17
61;16
66;14
6;13
65;11
70;10
64;10
67;9
62;9
72;8
69;7
63;7
80;7
68;7
81;6
76;6
5;6
75;6
93;5
73;5
91;4
71;4
4;4
82;4
85;4
84;4
77;4
74;3
86;3
90;3
83;3
79;3
100;3
101;3
92;3
89;3
87;3
97;3
147;2
128;2
112;2
179;2
125;2
151;2
119;2
102;2
96;2
127;2
340;1
152;1
78;1
175;1
142;1
115;1
767;1
137;1
150;1
205;1
201;1
168;1
156;1
208;1
105;1
132;1
106;1
88;1
155;1
99;1
94;1
107;1
118;1
