unique_values;counts
22;85
20;75
28;74
23;69
24;68
30;67
18;65
25;65
29;64
27;62
15;61
26;60
31;60
16;59
19;58
34;56
33;56
32;54
21;54
17;52
35;50
38;47
36;47
14;46
45;45
37;41
41;41
46;40
39;36
12;34
43;34
40;33
44;33
13;31
47;31
51;30
49;29
42;28
56;26
10;24
53;23
52;23
11;23
50;22
48;21
61;20
8;19
58;19
9;18
54;17
57;17
55;16
63;16
60;15
66;11
70;11
72;11
59;10
64;10
65;10
69;9
62;9
67;9
73;9
79;8
95;5
71;5
68;5
81;5
76;4
7;4
6;4
83;3
80;3
84;3
90;3
82;3
74;3
85;2
96;2
87;2
75;2
121;2
77;2
5;2
94;2
108;2
88;1
123;1
115;1
89;1
138;1
120;1
97;1
104;1
114;1
116;1
131;1
106;1
102;1
148;1
125;1
176;1
4;1
86;1
129;1
107;1
99;1
135;1
98;1
111;1
157;1
141;1
100;1
