unique_values;counts
31;502
30;478
33;473
32;472
28;441
36;438
27;436
34;432
29;432
26;431
35;426
25;416
24;408
37;396
23;391
38;379
39;371
40;340
41;329
21;327
22;322
43;300
44;297
42;291
20;291
19;275
18;266
45;263
17;253
46;241
49;219
16;217
48;212
47;210
50;196
52;162
15;157
51;150
14;149
54;142
56;137
53;136
55;125
59;116
58;108
13;101
11;94
57;93
12;87
60;84
10;84
61;81
63;77
64;73
9;65
62;62
65;58
67;56
70;47
66;46
69;43
6;43
8;42
68;42
71;41
74;38
73;37
7;34
78;34
75;33
84;32
72;31
77;28
76;28
5;27
79;26
80;24
81;22
82;18
83;17
93;17
85;16
90;15
89;15
88;14
86;13
87;13
94;13
105;11
99;11
96;11
4;10
91;9
109;8
98;8
104;8
106;7
102;7
116;7
107;6
111;6
103;6
138;6
121;6
112;5
132;5
3;5
125;5
92;5
135;5
101;5
117;5
122;4
110;4
100;4
95;4
97;4
113;4
154;3
115;3
127;3
162;3
119;3
131;3
146;3
114;3
118;3
184;2
124;2
160;2
161;2
133;2
172;2
191;2
144;2
139;2
179;2
151;2
142;2
130;2
126;2
129;2
108;2
177;2
120;2
140;2
208;1
147;1
123;1
194;1
272;1
164;1
447;1
199;1
175;1
174;1
413;1
257;1
326;1
167;1
284;1
207;1
180;1
195;1
492;1
182;1
461;1
173;1
134;1
152;1
137;1
141;1
181;1
212;1
153;1
235;1
185;1
190;1
211;1
165;1
169;1
204;1
255;1
261;1
192;1
334;1
136;1
186;1
189;1
158;1
