unique_values;counts
30;682
32;681
31;678
36;659
28;651
29;643
34;630
38;627
25;625
39;621
27;615
37;605
26;601
33;598
35;596
24;586
40;577
23;544
43;539
22;537
41;527
20;506
42;505
21;486
44;462
46;442
45;437
19;422
17;407
47;400
48;398
18;378
50;364
49;351
51;347
16;339
52;306
53;276
54;267
55;262
15;256
56;246
57;243
58;227
60;207
61;206
14;204
59;203
62;177
64;169
63;160
65;156
67;156
66;144
13;139
69;128
70;114
68;113
72;112
76;102
12;96
73;91
80;91
78;90
75;89
71;87
79;85
74;85
81;82
77;81
82;74
83;68
11;67
85;66
89;64
84;64
90;63
10;61
92;60
87;57
86;51
97;50
94;50
96;48
93;48
101;42
88;42
105;41
104;40
100;40
95;38
99;38
98;37
91;36
111;35
108;33
102;32
115;32
106;32
9;31
119;31
109;30
107;29
113;28
120;27
117;27
116;27
122;25
121;25
132;24
8;24
118;23
127;23
114;22
112;22
136;22
103;21
126;20
129;20
130;20
144;19
154;19
110;19
123;18
133;18
158;18
142;18
128;18
138;17
131;17
140;17
134;16
137;16
162;16
146;16
169;16
155;15
198;15
153;14
151;14
168;14
135;14
157;14
147;13
125;13
150;13
139;13
170;12
141;12
149;12
152;12
6;12
181;11
174;11
124;11
148;11
159;11
165;10
182;10
143;10
7;10
171;9
161;9
156;9
145;9
160;9
184;9
164;9
193;8
205;8
167;8
200;8
206;8
196;7
185;6
172;6
218;6
166;6
179;6
210;6
229;6
186;6
163;6
175;6
194;6
204;6
192;6
5;5
202;5
217;5
220;5
178;5
191;5
211;5
197;5
208;4
203;4
253;4
259;4
234;4
180;4
215;4
214;4
209;4
177;4
224;4
173;4
189;3
231;3
245;3
235;3
225;3
219;3
4;3
274;3
201;3
183;3
207;3
244;3
213;3
199;3
251;3
212;3
270;3
290;3
216;3
300;3
255;3
263;3
230;3
188;3
242;3
176;3
195;3
221;3
232;2
287;2
296;2
312;2
227;2
258;2
267;2
299;2
226;2
247;2
190;2
243;2
233;2
281;2
237;2
260;2
248;2
262;2
238;2
269;2
250;2
313;1
295;1
252;1
343;1
494;1
279;1
323;1
257;1
273;1
222;1
246;1
409;1
405;1
3;1
427;1
408;1
369;1
294;1
364;1
389;1
462;1
440;1
240;1
612;1
309;1
305;1
394;1
297;1
223;1
331;1
377;1
314;1
348;1
337;1
307;1
284;1
316;1
835;1
588;1
342;1
278;1
328;1
187;1
271;1
577;1
301;1
256;1
239;1
332;1
268;1
241;1
286;1
341;1
382;1
277;1
302;1
336;1
285;1
249;1
280;1
