unique_values;counts
19;431
22;366
21;366
18;366
20;365
17;356
24;344
23;340
16;325
26;302
25;282
27;260
15;260
14;223
28;222
29;210
31;189
30;188
13;163
32;152
33;151
34;121
12;114
35;112
11;97
36;94
37;88
40;79
38;76
10;74
39;66
42;58
46;52
9;50
43;46
41;46
45;41
44;40
47;35
48;28
50;28
8;24
52;21
49;19
53;19
51;19
54;17
55;16
61;16
64;16
56;15
59;14
57;14
62;14
7;13
60;12
58;12
6;11
63;10
67;10
65;9
71;9
66;8
68;8
81;6
87;6
4;6
76;6
72;5
69;5
70;5
99;4
88;4
92;4
80;4
78;3
118;3
75;3
84;3
5;2
74;2
79;2
93;2
100;2
3;2
141;2
85;2
128;2
91;2
97;2
123;1
94;1
125;1
96;1
111;1
112;1
113;1
188;1
89;1
156;1
114;1
150;1
90;1
110;1
122;1
119;1
129;1
2;1
193;1
73;1
117;1
169;1
101;1
86;1
260;1
77;1
180;1
126;1
83;1
