unique_values;counts
25;865
28;829
24;829
23;818
27;812
30;812
26;810
22;805
29;787
31;738
33;726
32;712
20;701
21;699
34;656
35;647
19;621
36;615
37;577
18;563
39;545
38;544
17;517
40;515
41;461
42;438
44;424
16;398
43;396
45;335
14;314
47;309
46;307
48;301
15;296
50;293
13;258
49;250
51;216
52;193
53;190
54;179
12;179
55;174
56;162
57;159
11;149
58;144
59;141
10;126
61;111
60;108
62;107
64;94
63;87
65;84
66;83
67;75
9;74
69;65
8;65
68;56
72;54
73;51
71;49
75;48
70;41
7;40
76;40
77;36
74;35
78;33
80;33
81;33
5;33
79;31
6;31
89;29
86;24
83;23
94;22
82;20
90;19
87;18
4;18
88;18
95;17
84;17
85;16
91;15
92;12
104;10
96;9
105;8
108;8
110;8
118;7
93;7
101;7
98;7
137;7
97;6
107;6
3;6
100;6
99;5
129;5
158;4
123;4
142;4
144;4
109;4
103;4
116;4
115;4
102;4
147;3
157;3
119;3
113;3
220;3
131;3
117;3
145;3
122;3
146;3
121;3
152;3
140;3
106;3
134;3
120;3
111;3
112;3
155;2
156;2
132;2
188;2
130;2
187;2
135;2
148;2
149;2
179;2
184;2
209;2
240;2
159;2
239;1
114;1
138;1
1;1
319;1
233;1
183;1
151;1
322;1
170;1
185;1
124;1
204;1
173;1
234;1
139;1
168;1
133;1
136;1
165;1
125;1
222;1
175;1
255;1
424;1
174;1
177;1
154;1
303;1
128;1
176;1
244;1
