unique_values;counts
17;111
19;108
22;107
23;97
27;93
20;93
16;91
26;88
21;88
15;86
24;86
14;80
18;76
33;76
28;71
30;70
25;69
31;67
13;66
29;64
34;59
12;56
35;55
32;49
36;45
38;44
37;40
11;39
43;37
39;32
44;32
40;31
41;31
42;29
9;24
46;24
10;22
50;21
45;21
8;19
49;17
47;17
53;15
51;15
54;14
52;13
48;13
56;12
55;9
6;9
57;8
73;7
7;7
60;7
68;5
67;5
5;5
61;5
62;4
64;4
65;4
58;4
59;4
79;4
71;4
4;4
72;3
70;3
69;3
78;2
138;2
81;2
66;2
103;2
235;1
140;1
127;1
123;1
3;1
63;1
84;1
94;1
74;1
137;1
77;1
146;1
75;1
82;1
86;1
88;1
