unique_values;counts
28;28056
27;28020
29;27813
26;27586
25;27332
30;27080
31;26870
24;26455
32;25779
23;25442
33;25388
34;24416
22;24103
35;23430
36;22745
21;22491
37;21868
20;21089
38;21032
39;20044
19;19030
40;18189
18;17224
41;16946
42;15548
17;15242
43;13834
16;12775
44;12316
45;10885
15;10788
46;9672
47;8694
14;8541
48;8072
49;7343
50;7039
51;6707
13;6670
52;6034
53;5574
54;4952
12;4907
55;4370
56;3992
11;3590
57;3360
58;2882
59;2568
10;2519
60;2242
61;2110
62;1837
9;1736
63;1684
64;1544
65;1436
66;1200
67;1194
68;1071
69;1013
8;945
70;877
71;824
73;769
72;757
74;724
75;668
76;640
7;558
77;539
78;538
79;506
80;458
82;402
6;386
84;382
81;377
83;372
85;340
86;331
87;309
89;284
91;283
90;274
88;273
94;237
92;229
93;223
96;217
95;214
97;208
98;185
99;182
101;177
100;163
103;159
105;155
104;149
102;146
108;124
107;120
109;115
5;115
111;114
106;114
110;113
119;109
117;103
114;101
113;101
121;95
115;92
112;88
116;84
118;81
131;79
120;77
123;75
127;72
125;72
134;71
128;65
124;65
132;63
122;61
141;60
129;58
126;57
135;56
137;56
136;55
133;53
130;52
139;44
153;44
143;43
152;41
138;40
142;40
147;39
145;38
148;38
144;37
151;35
140;34
149;34
172;34
4;33
146;33
158;33
150;32
155;30
161;29
154;29
156;28
173;27
183;27
164;26
162;25
190;25
168;25
157;24
166;24
167;24
174;23
186;22
163;22
185;22
159;22
200;22
160;21
189;21
176;21
188;20
215;19
170;19
171;19
187;19
198;18
165;18
191;18
180;17
177;17
175;17
3;17
179;16
184;16
182;16
203;16
169;16
248;15
178;15
181;14
199;14
204;13
194;13
192;12
193;12
209;12
206;12
217;11
228;11
208;11
197;11
205;10
232;10
211;10
195;10
214;10
196;9
231;9
202;9
210;9
223;9
220;9
230;9
250;9
226;8
207;8
244;8
227;8
219;8
212;8
241;8
218;8
222;8
201;8
245;8
235;7
236;7
221;7
225;7
256;7
246;7
307;7
262;7
224;7
261;6
304;6
409;6
272;6
249;6
252;6
263;6
301;6
348;6
213;6
296;6
238;6
259;5
410;5
258;5
284;5
265;5
342;5
269;5
274;5
332;5
233;5
264;5
335;5
216;5
257;5
247;4
267;4
413;4
242;4
414;4
286;4
229;4
243;4
319;4
240;4
270;4
297;4
251;4
279;4
268;4
288;4
300;4
290;4
306;4
253;4
298;4
275;3
266;3
280;3
506;3
337;3
320;3
287;3
328;3
346;3
260;3
379;3
291;3
356;3
883;3
289;3
309;3
330;3
329;3
311;3
308;3
237;3
255;3
293;3
407;3
334;3
315;3
314;3
473;3
239;3
351;3
321;3
408;3
338;3
366;2
294;2
428;2
470;2
358;2
303;2
378;2
345;2
419;2
416;2
278;2
436;2
360;2
578;2
573;2
572;2
364;2
709;2
326;2
502;2
271;2
357;2
478;2
341;2
336;2
331;2
282;2
318;2
527;2
273;2
367;2
285;2
317;2
363;2
305;2
354;2
281;2
299;2
277;2
507;2
234;2
254;2
349;2
350;1
807;1
359;1
396;1
323;1
325;1
355;1
392;1
322;1
593;1
343;1
445;1
719;1
389;1
340;1
534;1
439;1
398;1
457;1
372;1
558;1
283;1
708;1
710;1
412;1
383;1
415;1
574;1
339;1
463;1
347;1
461;1
556;1
605;1
426;1
425;1
569;1
465;1
459;1
462;1
546;1
400;1
376;1
454;1
635;1
316;1
324;1
618;1
1359;1
401;1
384;1
368;1
310;1
737;1
622;1
485;1
543;1
276;1
448;1
393;1
766;1
794;1
397;1
421;1
446;1
443;1
375;1
1266;1
545;1
420;1
542;1
496;1
598;1
292;1
761;1
333;1
371;1
391;1
385;1
681;1
894;1
455;1
362;1
405;1
312;1
427;1
374;1
352;1
1186;1
464;1
