unique_values;counts
15;16049
14;15428
16;15372
13;14736
17;14551
18;13381
12;13058
19;12001
11;10762
20;10540
21;9171
10;8355
22;7867
23;6624
9;5968
24;5681
25;4712
26;3938
8;3877
27;3325
28;2749
7;2391
29;2195
30;1892
31;1582
32;1381
6;1332
33;1140
34;901
35;874
36;779
37;611
5;593
38;568
39;475
40;450
41;399
42;359
43;299
44;286
46;236
4;229
47;206
45;201
49;168
48;167
50;160
51;135
52;131
54;112
56;100
55;99
57;94
3;92
53;91
59;81
60;76
61;73
58;66
62;54
65;45
64;43
63;42
68;35
66;29
67;28
73;27
70;25
76;24
72;24
81;24
71;23
69;23
77;22
88;22
78;20
80;18
79;18
75;18
94;18
74;15
84;15
82;14
86;13
100;12
85;12
103;11
102;11
83;11
87;9
95;9
101;8
90;8
97;7
99;7
108;7
2;7
104;7
91;6
89;6
93;6
117;6
98;6
123;5
92;5
115;4
105;4
137;4
148;4
111;4
140;4
96;4
110;4
121;4
143;4
124;4
109;4
118;3
134;3
145;3
112;3
139;3
120;2
133;2
163;2
166;2
128;2
132;2
119;2
264;2
106;2
131;2
182;2
114;2
158;2
175;2
154;1
135;1
194;1
160;1
196;1
183;1
113;1
180;1
153;1
165;1
188;1
168;1
129;1
136;1
173;1
186;1
144;1
149;1
126;1
167;1
227;1
150;1
255;1
191;1
170;1
201;1
187;1
215;1
171;1
216;1
127;1
138;1
219;1
302;1
130;1
122;1
156;1
208;1
