unique_values;counts
22;27739
21;27632
20;26324
23;26014
24;25166
25;23875
19;23515
26;22840
27;20724
18;20145
28;18871
17;16542
29;15988
16;13662
30;13507
31;11963
15;11642
32;10815
33;9870
34;9314
14;9025
35;8509
36;7472
37;7010
13;6766
39;6488
38;6459
40;6382
41;6245
42;6110
43;5532
44;5060
12;4828
45;4590
46;4131
47;3846
48;3455
11;3160
49;2901
50;2507
10;2232
51;2230
52;1988
53;1710
54;1490
9;1468
55;1340
8;1269
56;1069
57;960
7;946
58;879
59;756
60;693
61;595
62;565
64;465
63;455
65;431
6;428
67;411
68;400
66;396
69;332
5;314
70;312
72;301
71;297
73;277
74;240
75;229
76;201
78;197
80;187
77;184
81;182
89;162
79;162
84;146
90;142
83;138
85;133
82;133
92;119
95;113
88;113
87;106
86;106
91;103
96;101
93;95
94;93
98;89
4;88
97;88
99;84
101;83
100;78
102;68
103;67
104;66
105;59
111;58
109;55
110;51
107;50
108;49
106;49
116;47
114;47
121;46
112;43
122;43
117;41
118;41
126;41
115;40
113;39
125;35
124;35
142;33
120;33
134;33
130;32
132;31
147;31
127;29
128;29
143;29
141;28
123;26
156;26
133;26
146;26
119;26
129;25
140;25
131;24
139;24
137;23
154;23
151;22
138;21
136;21
168;20
158;19
145;19
148;19
144;18
152;17
135;17
157;17
159;17
165;17
171;15
163;15
173;14
155;14
150;14
180;14
162;14
160;13
3;13
185;12
149;12
194;12
176;12
167;11
187;11
175;11
166;11
179;10
170;10
153;10
191;10
183;10
190;10
174;9
178;9
186;9
189;9
184;9
164;9
201;9
172;9
169;8
197;8
193;8
204;8
236;8
161;8
181;8
192;8
226;8
229;7
247;7
177;7
256;7
207;7
230;6
205;6
224;6
203;6
241;6
182;6
317;6
199;6
245;6
227;6
196;6
219;5
223;5
240;5
208;5
263;5
209;5
218;5
216;5
255;4
213;4
206;4
214;4
225;4
298;4
244;4
272;4
228;4
221;4
220;4
210;4
231;4
234;4
200;4
212;4
268;4
296;3
333;3
264;3
276;3
215;3
279;3
266;3
290;3
254;3
275;3
217;3
259;3
293;3
387;3
341;3
309;3
222;3
313;3
274;3
195;3
260;3
281;3
252;3
235;3
277;3
232;3
253;3
391;3
248;3
258;3
246;3
198;3
262;3
448;2
307;2
357;2
280;2
288;2
292;2
211;2
398;2
270;2
233;2
303;2
299;2
569;2
188;2
300;2
546;2
308;2
365;2
242;2
202;2
330;2
325;2
354;2
392;2
343;2
271;2
339;2
239;2
352;2
238;2
583;2
374;2
257;2
294;2
440;1
316;1
633;1
549;1
362;1
675;1
783;1
265;1
413;1
311;1
400;1
403;1
2772;1
469;1
363;1
243;1
269;1
399;1
433;1
388;1
441;1
404;1
320;1
408;1
420;1
45669;1
494;1
366;1
249;1
572;1
541;1
337;1
419;1
342;1
405;1
424;1
306;1
332;1
347;1
322;1
278;1
395;1
489;1
314;1
304;1
1108;1
422;1
380;1
375;1
315;1
340;1
321;1
447;1
295;1
615;1
284;1
427;1
476;1
527;1
327;1
616;1
453;1
623;1
305;1
283;1
401;1
461;1
378;1
509;1
355;1
289;1
428;1
662;1
958;1
502;1
389;1
267;1
431;1
282;1
588;1
519;1
261;1
370;1
454;1
663;1
1038;1
536;1
251;1
437;1
396;1
291;1
573;1
27900;1
2;1
866;1
607;1
835;1
329;1
328;1
297;1
353;1
498;1
547;1
475;1
318;1
451;1
