unique_values;counts
25;106
24;103
26;96
27;95
30;94
28;90
23;83
22;80
21;79
18;77
20;76
29;76
19;75
32;73
31;72
16;70
15;66
17;62
33;61
36;57
14;56
37;50
34;48
35;48
39;46
38;45
42;44
43;43
40;40
12;39
13;36
45;36
41;34
44;33
49;32
11;31
48;30
52;26
51;24
46;23
55;23
50;21
8;20
9;20
58;19
54;18
61;17
53;16
56;16
47;15
66;15
62;15
68;14
59;14
65;14
63;14
64;14
10;13
67;11
57;11
69;11
71;10
70;10
74;9
7;9
76;9
6;8
60;8
5;7
81;7
4;6
80;6
77;5
79;4
85;4
82;4
90;4
108;4
83;3
100;3
87;3
73;3
3;3
92;3
86;3
75;3
72;3
156;2
78;2
88;2
276;2
96;2
583;1
91;1
131;1
114;1
109;1
102;1
144;1
89;1
251;1
408;1
285;1
208;1
238;1
129;1
145;1
186;1
116;1
146;1
103;1
138;1
168;1
98;1
119;1
174;1
160;1
99;1
278;1
