unique_values;counts
28;120
24;118
25;112
32;109
33;105
29;104
23;103
26;103
27;103
19;102
20;94
31;93
30;93
22;89
34;83
21;82
18;80
35;76
17;75
39;66
36;66
38;65
16;64
37;59
15;59
14;58
40;51
42;44
43;43
47;42
41;41
13;40
45;38
44;38
51;34
48;31
46;26
49;26
65;26
57;25
50;24
54;24
12;24
52;22
62;22
53;21
58;20
11;19
10;18
69;18
56;18
55;17
79;17
71;17
9;16
59;16
63;16
74;15
80;15
68;15
60;14
64;14
73;14
66;13
72;13
83;12
67;12
81;11
61;11
87;11
104;11
98;10
86;10
92;10
89;10
97;10
77;10
76;9
106;9
107;9
8;9
70;9
123;9
133;9
96;8
7;8
6;8
103;8
100;8
82;8
149;8
91;8
75;8
138;8
122;7
90;7
121;7
95;7
78;7
93;7
135;7
108;7
88;7
115;7
125;6
120;6
127;6
109;6
99;6
126;5
134;5
113;5
101;5
105;5
131;5
151;5
154;5
119;5
162;4
128;4
157;4
152;4
117;4
146;4
84;4
102;4
129;4
156;4
142;4
112;4
110;4
116;4
114;4
144;4
141;3
147;3
196;3
183;3
177;3
158;3
187;3
153;3
246;3
200;3
94;3
165;3
136;3
199;3
118;3
178;3
172;3
163;3
159;3
111;3
124;3
139;2
137;2
85;2
166;2
214;2
269;2
204;2
225;2
203;2
202;2
385;2
160;2
248;2
201;2
148;2
171;2
132;2
197;2
150;2
181;2
228;2
265;2
130;2
298;2
190;2
164;2
176;2
209;2
242;1
143;1
229;1
292;1
207;1
194;1
195;1
369;1
362;1
342;1
360;1
313;1
224;1
210;1
218;1
315;1
198;1
179;1
186;1
293;1
215;1
274;1
320;1
300;1
270;1
169;1
438;1
258;1
161;1
175;1
289;1
550;1
3;1
206;1
305;1
379;1
211;1
222;1
259;1
4;1
140;1
235;1
264;1
249;1
217;1
192;1
185;1
286;1
400;1
184;1
234;1
173;1
5;1
299;1
343;1
174;1
244;1
180;1
220;1
233;1
216;1
247;1
