unique_values;counts
10;59
13;58
15;57
20;55
19;52
24;50
17;50
21;48
14;47
11;47
28;47
16;46
27;45
8;45
26;43
31;43
12;43
18;42
34;42
7;40
23;38
38;37
37;37
33;37
5;37
4;36
30;35
22;35
29;35
9;35
25;32
40;31
32;31
6;29
41;29
43;28
36;27
39;25
35;25
46;24
44;22
42;19
49;18
47;18
48;18
45;18
51;16
56;15
57;15
53;14
61;14
55;12
3;11
50;11
54;10
52;9
59;9
62;8
58;8
63;5
60;5
71;5
65;4
64;4
66;4
80;4
77;4
67;3
78;3
68;3
70;2
72;2
76;1
87;1
95;1
110;1
79;1
116;1
93;1
73;1
123;1
151;1
220;1
97;1
115;1
104;1
122;1
99;1
75;1
