unique_values;counts
16;1065
19;1044
20;977
17;942
14;933
21;916
15;906
13;870
18;868
22;831
23;802
12;798
24;708
26;705
25;672
9;639
11;630
27;609
28;543
10;539
29;513
30;464
31;456
32;358
33;352
6;313
35;306
34;298
8;291
36;239
37;228
7;225
38;199
39;197
41;163
40;149
42;139
43;116
45;109
44;102
4;88
46;84
47;82
48;71
49;69
50;64
51;50
52;45
54;38
55;32
56;32
53;30
57;30
58;25
5;25
59;22
60;20
63;19
62;17
61;16
65;14
66;14
69;13
67;13
64;10
73;10
68;10
70;10
76;9
74;9
75;7
77;6
71;6
81;6
80;6
79;5
72;5
87;5
88;4
78;4
83;4
91;4
82;3
92;3
101;2
106;2
93;2
94;2
84;2
103;2
86;2
169;1
117;1
123;1
324;1
109;1
145;1
226;1
95;1
107;1
85;1
112;1
141;1
102;1
263;1
98;1
161;1
3;1
130;1
110;1
100;1
89;1
