unique_values;counts
12;598
13;583
14;571
11;550
15;527
16;497
18;476
17;465
10;459
9;405
8;392
19;339
20;328
7;299
21;285
23;225
22;225
6;221
24;164
5;142
26;129
25;126
27;112
4;109
28;93
3;75
30;70
29;63
31;51
34;31
32;29
36;28
37;26
33;26
35;24
38;18
39;16
45;15
2;14
40;11
41;10
42;9
43;8
47;7
50;6
54;6
44;6
61;6
46;6
48;6
75;5
51;5
60;4
49;4
63;4
82;3
53;3
70;3
71;3
90;3
72;3
87;3
57;3
52;3
58;3
88;2
59;2
89;2
111;2
67;2
56;2
113;1
175;1
69;1
77;1
104;1
100;1
101;1
109;1
83;1
153;1
68;1
296;1
122;1
76;1
166;1
66;1
78;1
81;1
108;1
134;1
65;1
129;1
346;1
1;1
55;1
119;1
84;1
80;1
79;1
62;1
