unique_values;counts
20;170
25;166
26;165
22;161
24;157
18;154
19;148
17;147
16;146
29;144
23;144
21;141
27;133
30;131
28;128
31;127
15;127
32;113
14;102
33;101
13;86
34;82
12;71
35;71
36;71
37;69
11;69
10;62
39;51
42;49
38;43
9;43
41;42
40;41
8;33
43;29
44;27
48;25
47;24
7;22
45;21
49;19
50;18
46;18
58;14
52;13
51;13
56;11
6;11
54;10
55;10
53;8
59;8
57;8
62;8
61;6
5;5
63;5
65;4
93;4
68;4
66;4
60;4
73;4
64;4
71;3
82;3
85;3
81;3
88;3
75;2
67;2
90;2
4;2
69;2
78;2
98;2
83;2
114;1
124;1
257;1
103;1
77;1
109;1
79;1
3;1
106;1
72;1
102;1
193;1
76;1
110;1
70;1
107;1
125;1
121;1
74;1
171;1
92;1
84;1
