unique_values;counts
22;1655
24;1624
23;1561
20;1549
21;1545
25;1470
19;1466
26;1377
18;1339
27;1336
28;1311
29;1295
17;1240
30;1185
16;1157
31;1072
15;1042
33;981
32;980
14;860
34;807
35;784
13;741
36;686
38;654
37;648
39;577
12;571
41;538
11;520
42;486
40;473
43;415
44;359
10;343
46;298
45;287
47;273
48;228
50;203
9;198
49;193
51;185
52;146
8;143
53;137
54;116
55;106
56;97
7;91
58;89
57;89
59;75
61;74
6;66
64;61
63;61
85;57
60;56
65;54
66;54
90;50
62;49
77;48
89;47
68;46
69;45
72;44
67;43
74;43
92;42
70;41
76;41
71;41
79;40
81;40
86;40
83;40
82;39
73;39
75;39
78;38
93;38
96;37
84;37
5;37
87;36
98;35
139;33
95;33
99;33
136;32
91;32
80;31
94;30
134;30
88;30
106;30
101;29
109;28
115;28
129;27
114;27
138;25
116;25
102;24
126;24
125;24
108;24
105;24
97;24
121;23
113;23
141;23
117;22
118;22
112;22
100;22
183;22
104;22
135;22
178;21
157;21
131;21
111;20
124;20
132;20
103;20
137;20
140;20
119;20
133;19
181;18
146;18
120;18
188;18
180;18
142;17
107;17
148;17
160;17
127;17
143;17
4;17
151;16
130;16
176;16
147;16
182;16
161;15
184;15
110;15
177;15
173;14
123;14
158;14
187;14
175;13
153;13
150;13
169;13
159;12
149;12
128;12
163;12
122;12
194;12
145;12
186;11
144;11
201;11
226;11
170;11
174;11
179;11
154;11
164;11
156;10
152;10
243;10
190;10
171;9
189;9
185;9
191;9
195;9
196;9
242;9
168;9
207;8
204;8
215;8
228;8
224;8
165;8
205;8
210;8
217;8
167;8
199;7
155;7
198;7
172;7
220;6
236;6
222;6
193;6
166;6
240;6
209;6
202;6
219;6
230;6
278;5
212;5
227;5
197;5
192;5
251;5
203;5
235;5
216;5
239;5
221;5
214;5
211;5
265;4
284;4
223;4
277;4
245;4
248;4
233;4
275;4
229;4
218;4
282;4
234;4
270;3
266;3
250;3
276;3
255;3
241;3
249;3
232;3
237;3
307;3
308;3
208;3
288;3
261;3
253;3
162;3
259;2
3;2
257;2
244;2
238;2
333;2
231;2
213;2
297;2
269;2
247;2
295;2
263;2
317;2
225;2
352;2
311;2
289;2
325;2
271;2
286;2
200;2
285;2
258;2
273;2
206;2
2;2
274;2
314;2
321;2
272;2
313;1
327;1
411;1
343;1
291;1
348;1
335;1
373;1
303;1
254;1
279;1
262;1
489;1
331;1
299;1
296;1
320;1
424;1
315;1
252;1
260;1
1836;1
267;1
375;1
1840;1
326;1
287;1
340;1
305;1
334;1
1275;1
300;1
338;1
306;1
310;1
298;1
316;1
292;1
374;1
264;1
354;1
268;1
329;1
463;1
455;1
283;1
293;1
366;1
378;1
386;1
328;1
309;1
356;1
392;1
367;1
280;1
364;1
290;1
330;1
346;1
256;1
319;1
368;1
370;1
