unique_values;counts
20;851
19;768
21;757
22;750
18;728
23;718
25;715
24;697
26;686
17;658
16;646
29;620
27;615
30;571
28;567
31;534
33;520
32;515
15;490
34;477
35;445
37;372
36;365
38;351
14;338
40;302
39;299
13;288
42;254
41;238
44;229
43;219
48;190
47;190
45;189
12;174
46;156
50;144
49;137
11;134
51;131
52;114
53;108
55;100
60;94
56;93
57;90
54;89
10;83
61;83
64;82
63;71
59;66
58;65
66;59
69;57
68;54
62;54
72;52
9;51
74;47
67;45
65;45
71;44
75;43
84;39
78;39
79;38
70;37
76;37
8;35
87;35
73;35
85;34
96;34
80;33
77;33
94;33
86;30
105;29
92;27
90;27
93;26
89;25
88;24
83;24
124;23
81;22
129;22
91;22
107;20
119;20
95;19
98;18
112;18
116;17
132;16
135;16
121;16
114;15
82;15
108;15
6;15
101;15
102;15
109;15
106;14
134;14
7;14
138;14
139;13
111;13
104;13
97;13
126;12
173;11
103;11
137;11
148;11
120;11
147;10
118;10
5;10
100;10
115;10
123;9
151;9
113;9
130;9
158;9
117;9
169;9
174;8
131;8
165;8
110;8
99;8
144;8
128;8
127;7
162;7
178;7
154;7
191;7
170;7
194;7
145;7
136;6
133;6
150;6
125;6
168;6
176;6
140;5
4;5
149;5
152;5
197;5
143;5
196;5
181;5
164;5
141;4
211;4
203;4
179;4
182;4
183;4
172;4
142;4
209;3
122;3
277;3
268;3
161;3
192;3
146;3
155;3
220;3
240;3
278;3
3;3
171;3
156;3
187;3
239;3
188;2
206;2
230;2
190;2
246;2
186;2
346;2
224;2
227;2
208;2
159;2
180;2
198;2
261;2
253;2
276;2
241;2
249;2
263;2
200;2
259;2
228;2
163;2
199;2
153;2
215;2
216;2
184;2
160;2
213;2
185;2
388;2
204;1
207;1
252;1
303;1
2;1
166;1
167;1
391;1
195;1
279;1
229;1
321;1
435;1
157;1
222;1
177;1
313;1
226;1
221;1
564;1
340;1
518;1
383;1
309;1
295;1
292;1
233;1
298;1
238;1
201;1
244;1
289;1
243;1
16489;1
217;1
257;1
218;1
310;1
189;1
256;1
245;1
301;1
302;1
260;1
