unique_values;counts
26;3034
27;3006
24;2995
23;2954
25;2948
28;2911
21;2904
29;2865
22;2843
20;2718
30;2530
19;2523
31;2487
32;2343
18;2244
33;2229
17;2026
34;2023
35;1909
16;1698
36;1645
38;1562
37;1551
15;1398
39;1368
14;1188
40;1179
41;1116
42;1013
13;923
43;903
44;788
12;758
45;697
46;665
47;604
48;581
11;561
49;492
50;459
51;412
10;395
52;388
53;324
55;275
54;274
9;274
56;271
57;239
58;219
59;181
8;162
60;154
61;133
62;132
63;120
7;119
64;109
65;95
67;95
66;79
68;76
71;67
69;63
73;55
72;54
6;53
70;49
74;44
75;40
5;39
78;36
79;35
77;28
84;27
76;26
80;23
81;22
86;21
82;21
4;19
83;18
88;16
85;16
90;14
87;13
91;11
95;11
93;11
92;10
89;10
98;8
94;8
102;7
111;6
113;6
109;5
100;5
108;5
105;4
107;4
97;4
110;4
3;3
114;3
103;3
101;3
129;3
104;3
115;3
112;3
99;3
139;2
126;2
127;2
132;2
96;2
116;2
117;2
165;1
128;1
119;1
176;1
122;1
198;1
123;1
168;1
325;1
146;1
137;1
151;1
167;1
124;1
144;1
166;1
299;1
131;1
180;1
120;1
145;1
170;1
169;1
