unique_values;counts
20;674
23;630
17;617
26;605
29;538
11;488
32;482
25;482
22;470
14;467
28;458
27;448
31;435
21;397
24;388
19;384
33;382
30;377
16;352
34;341
35;341
38;339
37;326
36;310
13;291
18;287
39;287
8;284
15;259
40;240
41;222
42;197
43;195
44;187
46;178
45;174
47;149
12;144
48;141
49;124
10;118
50;117
51;98
54;94
53;91
52;87
55;78
9;74
56;69
58;68
7;66
57;64
59;59
61;57
60;57
62;55
5;46
65;42
63;42
66;38
64;36
68;32
69;30
67;29
76;27
71;26
6;23
4;23
81;22
70;22
77;22
74;21
73;20
72;20
80;16
3;14
78;14
79;13
82;13
87;12
88;11
84;11
75;10
89;10
90;10
83;10
85;9
92;8
86;8
98;8
109;7
95;7
93;6
103;6
97;6
121;5
2;5
108;5
113;5
118;5
128;4
117;4
116;4
100;4
114;4
101;4
150;4
112;4
107;3
124;3
123;3
104;3
110;3
94;3
99;3
91;3
105;2
174;2
106;2
152;2
137;2
119;2
126;2
111;2
457;2
96;2
132;2
178;2
122;2
127;2
170;1
134;1
148;1
115;1
231;1
456;1
185;1
177;1
215;1
120;1
145;1
151;1
239;1
188;1
216;1
136;1
173;1
182;1
102;1
129;1
205;1
125;1
157;1
154;1
