unique_values;counts
28;684
25;663
27;647
24;642
30;642
29;634
22;631
23;631
32;623
31;619
26;615
33;574
34;562
20;554
21;523
19;489
35;483
37;446
36;433
38;432
18;420
40;355
39;350
17;344
16;317
41;301
44;296
42;259
43;252
15;223
45;220
46;207
48;190
47;184
14;160
49;156
50;149
13;136
51;123
52;106
53;104
12;101
55;91
54;90
56;90
58;69
57;64
11;64
61;62
59;61
60;47
10;43
62;40
65;38
64;38
67;37
63;36
66;34
9;30
68;30
8;27
69;26
76;20
70;20
77;18
71;18
72;17
74;17
73;17
80;15
5;13
81;13
87;13
75;13
83;11
90;11
7;10
79;10
93;9
86;9
82;9
85;8
89;8
78;8
84;8
112;8
105;8
94;8
100;7
95;7
96;6
103;6
6;6
88;5
108;5
98;5
99;5
117;5
91;5
92;5
4;4
110;4
115;3
188;3
107;3
160;3
106;3
125;3
97;3
152;2
171;2
150;2
116;2
159;2
185;2
130;2
101;2
166;2
131;2
109;2
264;2
133;2
124;1
102;1
128;1
206;1
289;1
170;1
126;1
318;1
273;1
263;1
134;1
114;1
140;1
309;1
190;1
151;1
1332;1
149;1
162;1
172;1
245;1
187;1
286;1
476;1
120;1
258;1
3;1
113;1
132;1
137;1
164;1
179;1
139;1
260;1
156;1
197;1
225;1
196;1
141;1
123;1
212;1
167;1
228;1
192;1
163;1
205;1
111;1
313;1
340;1
104;1
