unique_values;counts
20;3719
21;3492
22;3485
19;3465
18;3412
23;3278
24;3174
17;3089
25;3037
26;2775
16;2756
27;2539
15;2438
28;2421
29;2261
30;2066
14;1977
31;1897
32;1653
13;1580
33;1503
34;1499
35;1415
12;1208
36;1204
37;1146
38;1019
39;955
11;910
40;900
41;824
42;720
43;679
10;671
44;604
45;569
46;541
47;509
48;453
49;440
9;420
50;361
51;341
53;313
52;304
54;291
55;282
56;223
57;219
8;200
58;183
60;178
59;177
61;155
7;152
62;143
64;122
65;105
63;99
67;87
6;87
69;80
66;80
71;74
68;68
75;55
70;51
73;47
76;46
74;44
72;41
77;39
78;37
81;32
83;29
5;29
80;25
82;24
84;23
79;22
87;19
86;18
93;17
92;17
96;16
91;16
95;16
85;14
89;14
88;13
99;12
97;12
98;11
94;10
101;9
90;8
104;8
109;7
106;7
110;7
103;7
100;6
120;6
4;5
107;5
102;5
123;4
121;4
119;4
115;4
114;4
3;3
124;3
131;3
113;3
112;3
127;3
117;3
147;2
111;2
125;2
129;2
135;2
128;2
157;2
139;2
116;2
134;2
150;1
196;1
146;1
204;1
242;1
225;1
137;1
118;1
256;1
193;1
2719;1
126;1
152;1
199;1
188;1
141;1
130;1
173;1
105;1
190;1
136;1
143;1
169;1
158;1
161;1
156;1
138;1
108;1
178;1
144;1
155;1
2;1
