unique_values;counts
9;8380
8;8252
10;7875
7;6912
11;6656
12;5358
6;4926
13;4221
14;3095
5;2652
15;2408
16;1886
17;1539
18;1216
19;904
4;870
20;746
21;622
22;518
23;409
24;339
3;316
25;301
26;249
27;176
28;168
29;141
31;119
30;117
32;102
33;83
34;79
36;55
35;51
38;44
39;44
2;44
37;43
40;33
41;32
45;31
43;30
42;29
44;29
46;23
47;21
49;19
55;17
50;17
62;15
51;14
54;13
52;12
66;11
48;10
59;9
57;8
68;8
58;8
69;8
64;7
53;7
60;6
65;6
67;5
73;5
89;5
63;4
70;4
81;4
83;3
56;3
74;3
78;3
97;2
80;2
87;2
85;2
76;2
91;2
113;2
92;2
86;2
102;2
109;2
114;2
127;2
1;2
72;1
124;1
175;1
108;1
106;1
84;1
82;1
142;1
266;1
243;1
133;1
120;1
128;1
96;1
99;1
71;1
95;1
126;1
168;1
61;1
125;1
79;1
77;1
159;1
143;1
138;1
118;1
111;1
107;1
88;1
176;1
105;1
26094;1
