unique_values;counts
22;3032
23;2966
25;2950
24;2932
26;2929
21;2883
20;2858
27;2735
28;2686
19;2564
29;2503
18;2448
30;2292
17;2172
31;2096
16;1944
32;1888
33;1743
15;1690
34;1674
35;1459
14;1444
36;1357
37;1230
13;1148
38;1111
39;1021
40;947
12;800
41;753
42;720
43;664
44;617
11;533
45;522
46;477
10;461
47;408
9;400
48;353
49;291
8;271
50;263
51;256
52;191
53;188
54;188
7;155
55;152
57;145
56;132
58;120
59;96
63;93
60;83
6;82
5;82
62;79
61;78
4;78
64;57
70;54
65;52
66;47
3;45
67;42
68;38
71;32
74;30
75;29
73;27
72;26
78;23
69;21
80;19
76;17
82;17
85;14
81;14
87;14
84;13
88;13
77;12
90;12
79;11
92;11
83;10
97;9
104;9
89;7
91;7
112;7
96;6
105;6
98;6
100;6
86;5
95;5
93;5
103;4
102;4
109;4
107;4
113;4
94;4
108;3
119;3
121;3
101;3
177;2
123;2
126;2
180;2
130;2
110;2
143;2
115;2
124;2
106;2
178;1
117;1
201;1
111;1
114;1
310;1
157;1
149;1
147;1
116;1
186;1
99;1
194;1
151;1
136;1
118;1
138;1
166;1
146;1
160;1
135;1
148;1
234;1
182;1
134;1
150;1
168;1
161;1
242;1
129;1
145;1
159;1
183;1
140;1
156;1
155;1
