unique_values;counts
25;1280
26;1253
27;1247
24;1238
21;1218
23;1217
20;1174
22;1173
28;1173
19;1074
29;1070
18;1057
31;1030
32;990
30;987
17;975
33;939
16;881
15;841
34;836
35;756
14;730
37;664
36;661
38;611
39;589
13;585
40;541
41;508
42;479
12;443
44;398
43;398
11;372
45;342
46;328
10;281
48;279
47;271
49;255
50;232
51;210
52;208
54;197
53;187
9;172
56;145
55;134
8;125
57;123
58;112
59;111
61;105
60;102
63;97
7;83
62;74
64;73
67;66
66;62
70;58
68;56
65;53
72;48
75;44
71;43
6;39
79;36
69;33
81;32
74;31
73;31
78;29
83;28
80;25
76;24
77;22
5;21
84;19
82;18
89;18
87;18
85;16
90;15
92;14
97;11
86;11
95;10
94;10
93;9
91;9
111;8
96;8
98;8
88;8
4;8
103;8
102;7
105;7
100;7
115;6
147;5
99;5
127;5
110;4
135;4
101;4
123;4
133;4
121;4
104;3
136;3
107;3
114;3
108;3
109;3
113;3
125;3
161;3
130;3
176;2
149;2
142;2
117;2
106;2
141;2
129;2
118;2
116;2
128;2
134;2
126;2
138;2
153;2
155;2
140;2
122;2
206;1
199;1
120;1
146;1
243;1
220;1
124;1
393;1
304;1
208;1
212;1
163;1
203;1
313;1
170;1
171;1
3;1
221;1
198;1
132;1
224;1
226;1
112;1
157;1
190;1
137;1
162;1
119;1
177;1
158;1
166;1
156;1
179;1
168;1
