unique_values;counts
22;126
23;108
24;105
26;105
25;102
32;94
21;92
34;91
27;90
29;90
30;89
18;87
28;87
31;81
36;78
17;77
33;75
19;72
35;68
20;67
37;65
16;55
38;53
15;52
41;48
39;47
42;44
43;43
40;42
45;39
46;36
14;35
44;32
48;30
13;29
47;23
11;21
50;21
53;20
52;20
54;19
56;18
12;18
9;14
49;14
51;14
10;12
55;10
57;9
63;9
59;8
58;8
5;6
66;6
64;6
7;5
67;5
62;5
60;4
8;4
61;4
93;3
65;3
80;2
91;2
3;2
72;2
74;2
4;2
75;2
95;2
69;2
192;1
68;1
159;1
70;1
144;1
180;1
71;1
195;1
73;1
104;1
83;1
87;1
177;1
79;1
122;1
97;1
112;1
148;1
86;1
